,ACSM5,ADORA3,ALDH18A1,ALG9,ALKBH7,ARHGAP26,ATG9A,BCKDHB,BCKDK,BDKRB1,CDKN1A,CDKN1B,CDKN2C,CLCNKB,CLEC1A,COQ5,COX11,CSNK1D,CSNK1E,CYP11B1,DGUOK,DKK2,DUSP10,DUSP16,EARS2,ECHDC3,GLYATL1,GMIP,GNRHR,GPR152,GPR176,HEMK1,KCND1,KIR2DL1,KLC1,KLC3,LDHAL6B,LY6K,MCAT,METTL17,MIPEP,MRPS2,NDE1,NDEL1,NEU1,NPBWR2,OLFML3,OR10H2,OR12D3,OR13A1,OR2A2,OR2AE1,OR2L13,OR2S2,OR5C1,OR6B2,OR7E2P,OS9,PAFAH1B1,PHB1,PIGV,PPP1R3B,PPP1R3C,PTGR3,RHBG,RIDA,SCAPER,SFTPD,SLC22A13,SLC22A14,SLC25A25,SLC7A9,SLCO6A1,SOSTDC1,SPSB1,SPSB4,SYT1,SYT2,TSPAN32,TUFM,UCP2,UQCRFS1,VSIR
ACSM5,1.0,-0.07691155,0.69145554,-0.030464446,0.8429111,-0.060745448,-0.055503033,0.6645194,0.80616087,-0.140649,0.037482418,0.05140371,0.083641544,-0.04038826,-0.1099899,0.84304786,0.07368102,0.20477027,0.27922022,0.775604,0.8087776,-0.0063667074,-0.011988712,-0.07721411,0.73700786,0.77313405,0.79946935,-0.04690121,-0.10294409,-0.13335802,-0.030393431,0.7718854,-0.05531417,-0.08805295,0.20895989,0.20446023,0.8163449,-0.0702698,0.78253424,0.7826785,0.8273514,0.7331617,-0.04447679,-0.0031529749,-0.13471374,-0.049199115,-0.15907334,-0.11114891,-0.04282214,-0.08399146,0.025101595,0.015406733,-0.17162171,-0.13754918,-0.12839948,-0.007370036,-0.05836176,-0.11979918,0.042291738,0.17402676,-0.009500522,-0.15216742,-0.16301821,0.83971786,-0.07855354,0.8556838,-0.04639267,-0.16303757,-0.09279949,0.00039057247,0.07002879,-0.0992226,-0.03912215,0.058041073,0.09223537,0.17878306,0.03324235,-0.10469058,-0.020793844,0.75995666,0.15762156,0.76793283,-0.040498145
ADORA3,-0.07691155,1.0,-0.0013879426,0.78876656,-0.043286767,0.26313514,0.77788794,0.00843681,-0.070177816,0.8127528,0.10502848,0.12659763,0.11559881,0.8085892,-0.04668888,-0.09046416,0.22167608,-0.0779544,-0.04808654,0.047564488,-0.030011676,0.02291048,0.12964779,0.16425566,-0.0027330108,0.0027126446,-0.067248344,0.20987558,0.8544454,0.6833833,0.8276038,-0.0067067314,0.74154377,0.015090428,0.040016092,0.06785175,0.068112865,0.8123437,0.012310162,-0.054612678,-0.062487256,-0.026093874,0.042547517,0.03795152,0.058682226,0.82187736,-0.019767202,0.86644083,0.80572975,0.76166046,0.7750343,0.79096377,0.83742034,0.81745833,0.7473686,0.783399,0.7946928,-0.06918962,0.05791433,0.20280081,0.7924816,0.40979388,0.28234652,-0.09294976,0.80949736,-0.0062719397,0.7612867,0.028979143,0.8279527,0.7918662,0.22570734,0.84238195,0.804302,0.07871698,-0.07094982,-0.12694934,0.32645577,0.35527456,0.72918487,-0.027667984,0.14921309,-0.07189223,-0.039440017
ALDH18A1,0.69145554,-0.0013879426,1.0,0.034870006,0.6606306,-0.09868936,-0.017012684,0.8405938,0.6294195,-0.063614614,-0.02171555,-0.018100291,0.023091307,-0.034753382,-0.14892894,0.63543,0.40887895,0.31888863,0.39590272,0.80375564,0.8607793,0.025928251,0.038910277,-0.0561908,0.734103,0.5285994,0.6791177,-0.091141015,-0.06030401,-0.119098246,0.05028495,0.6919621,-0.028681042,-0.036842972,0.24222669,0.17559011,0.7032674,-0.012269449,0.7973593,0.69491374,0.63729495,0.85756695,-0.10330528,-0.04236637,-0.16395271,-0.016489405,-0.21165326,-0.033128187,-0.0041211965,-0.023405556,0.100501016,0.097198,-0.09597652,-0.08232677,-0.03157068,0.03095782,0.007767029,-0.17654788,-0.0031363107,0.5089091,0.009537824,-0.19639891,-0.22504663,0.73813653,-0.033980504,0.76541424,0.010415288,-0.22467329,-0.04302039,0.039730605,0.3653892,-0.03463968,0.028691342,0.10101968,0.0940948,0.20530427,0.024669174,-0.10646788,-0.007956885,0.6917067,0.48294407,0.77001804,0.037536364
ALG9,-0.030464446,0.78876656,0.034870006,1.0,-0.016097104,0.1864664,0.73802817,0.041711047,-0.06304561,0.75154936,0.076368526,0.11070778,0.11812502,0.74416673,-0.028204937,-0.064312726,0.23948362,0.029389147,0.051702973,0.085223496,0.015194831,0.019577656,0.094918266,0.14292347,0.034303516,0.030097475,-0.03835035,0.1381951,0.7822875,0.65965414,0.7915106,0.0071787983,0.7132139,-0.024892705,0.01754897,0.04393327,0.1411461,0.76826924,0.07443045,0.005118491,-0.041923657,0.033486094,-0.029629782,-0.034939144,0.07447388,0.7409427,-0.00276566,0.7986654,0.74068195,0.7371937,0.7492137,0.74471,0.78752565,0.7854152,0.7048865,0.7587102,0.7484781,-0.039704353,-0.021517528,0.2492666,0.7589785,0.29633388,0.20974198,-0.036042307,0.75686884,0.01952444,0.7403894,0.07227221,0.76968104,0.77761406,0.25571203,0.81614023,0.7610663,0.082991265,-0.0273006,-0.08002719,0.29148555,0.31858596,0.6909695,-0.01620844,0.20379561,-0.039272994,-0.060888566
ALKBH7,0.8429111,-0.043286767,0.6606306,-0.016097104,1.0,-0.052619778,-0.042118497,0.62043643,0.8921034,-0.09380902,0.0057857987,0.012272101,0.052904908,-0.026884943,-0.09544692,0.92166483,0.14492899,0.19119386,0.26192412,0.7755063,0.82920206,0.04926044,-0.019835122,-0.08762604,0.76558346,0.83750427,0.7883996,-0.062058203,-0.06882635,-0.09520343,-0.007818548,0.7794062,-0.04612627,-0.035810202,0.21372399,0.20565718,0.81227934,-0.035516787,0.803632,0.73646605,0.8797147,0.76917505,-0.02156355,0.01703094,-0.10825158,-0.03239443,-0.12581687,-0.07750911,-0.013150189,-0.044933543,0.03649275,0.049125753,-0.12899224,-0.089082256,-0.06830996,0.004958503,-0.03791949,-0.098144434,0.06232561,0.2377884,0.008753691,-0.11680405,-0.14484645,0.81620485,-0.05422228,0.87203395,-0.024902405,-0.14484258,-0.059016004,0.012933817,0.1819396,-0.05062446,-0.007781828,0.115981095,0.07723422,0.1617282,-0.011782436,-0.119138926,-0.031689204,0.79686105,0.23064113,0.695233,0.006100405
ARHGAP26,-0.060745448,0.26313514,-0.09868936,0.1864664,-0.052619778,1.0,0.23459578,-0.042622156,-0.010602975,0.20550191,-0.11506476,-0.06916766,-0.15877888,0.29852134,0.074434,-0.02245875,0.010591581,-0.014118493,-0.11884855,-0.044473216,-0.07690349,0.05924426,0.37690157,0.32690847,-0.021651616,0.027435381,-0.0017566681,0.82841337,0.31713256,0.2627196,0.2521596,-0.06851685,0.32620728,0.059441864,-0.026871268,0.029566064,-0.045938395,0.27386862,-0.06617212,-0.03636628,-0.028562035,-0.104660615,0.067856126,0.04106958,0.14976102,0.2889338,0.07032296,0.28864968,0.26084203,0.18485202,0.24313472,0.19693154,0.2948876,0.2971521,0.24319209,0.3511291,0.24368866,0.08724573,0.019524176,-0.052743714,0.23701826,0.09445699,0.058708698,-0.056765936,0.31137654,-0.023812283,0.24095869,0.06669501,0.3075676,0.26909357,-0.040656053,0.24783128,0.253611,0.066060655,-0.1931122,-0.14314738,0.17778453,0.20491862,0.19721374,0.007318167,-0.0695565,-0.039092872,0.07742277
ATG9A,-0.055503033,0.77788794,-0.017012684,0.73802817,-0.042118497,0.23459578,1.0,-0.019656831,-0.11105968,0.7465163,0.07900979,0.123648316,0.07440028,0.7485583,-0.09814122,-0.09034971,0.2632174,-0.12783228,-0.055399753,0.09063046,-0.015989862,0.056783065,0.12353044,0.15546522,-0.01568633,0.03796693,-0.04565184,0.19382595,0.81531715,0.54772216,0.8216398,-0.008854361,0.7099869,0.04043686,0.042705096,0.07044549,0.09548707,0.7593088,0.016353851,-0.06070417,-0.08426719,0.007458615,0.078192785,0.07675259,0.0288442,0.7841332,-0.043083373,0.84223604,0.757236,0.6664532,0.81399846,0.7609483,0.8095981,0.7241552,0.642652,0.74282885,0.71895117,-0.12242803,0.06960653,0.23022789,0.8211517,0.4050181,0.28949186,-0.084460944,0.74209833,-0.014150895,0.79091394,-0.014412409,0.7287415,0.79048353,0.27515537,0.8011898,0.72795343,0.09451023,-0.05254574,-0.11337885,0.36280268,0.35822582,0.8282616,-0.0139884055,0.18554686,-0.06440542,-0.0021718852
BCKDHB,0.6645194,0.00843681,0.8405938,0.041711047,0.62043643,-0.042622156,-0.019656831,1.0,0.5738933,-0.10499386,-0.034404166,-0.032438666,0.0045568645,-0.04046996,-0.17869496,0.59932244,0.43645716,0.2617398,0.32231086,0.7625019,0.8031735,0.09497723,0.07138618,-0.024156943,0.70031047,0.49524736,0.6290989,-0.070902355,-0.084245384,-0.14583331,0.030324167,0.62919,-0.002067415,-0.0132897245,0.23623297,0.19125009,0.6587167,-0.010875141,0.75356454,0.6911733,0.5949017,0.7947879,-0.091495045,-0.025539923,-0.19862735,-0.043160893,-0.24122828,-0.03402146,-0.026405953,-0.065064624,0.1068239,0.07895139,-0.09949483,-0.10648738,-0.05657852,0.0281488,0.009451134,-0.20141794,0.022034273,0.5379931,-0.012959368,-0.17231712,-0.21595554,0.6865833,-0.055579185,0.71559024,-0.032409973,-0.24763662,-0.057081267,0.032770775,0.42221034,-0.05407664,-0.021341229,0.13064454,0.098216884,0.20677848,-0.021339193,-0.12495326,0.0071681216,0.6492795,0.5102453,0.7434128,0.048223387
BCKDK,0.80616087,-0.070177816,0.6294195,-0.06304561,0.8921034,-0.010602975,-0.11105968,0.5738933,1.0,-0.13135248,-0.011137194,-0.008530632,0.04425961,-0.06397289,-0.059590288,0.8739359,0.007863648,0.22179759,0.2554281,0.690064,0.7706326,0.038532875,-0.042465318,-0.09784867,0.70455915,0.7739299,0.75735533,0.013620567,-0.10220003,-0.117736995,-0.060921088,0.76097,-0.06911722,-0.041072037,0.14340389,0.13622573,0.7703979,-0.07821734,0.7192739,0.7160936,0.8876745,0.67970544,-0.015929077,0.026151776,-0.07044796,-0.07507796,-0.10520877,-0.11602636,-0.07549152,-0.09416407,-0.015795153,-0.021246735,-0.16748466,-0.116556585,-0.11583762,-0.027657583,-0.06467344,-0.06217641,0.060928207,0.07120516,-0.040722292,-0.14573255,-0.15348318,0.7888166,-0.08567427,0.80598736,-0.08553365,-0.12371828,-0.09017272,-0.03275085,0.005851783,-0.09810171,-0.03695944,0.08309461,0.008238897,0.10366611,-0.044611696,-0.15841778,-0.07829114,0.7362292,0.06889899,0.6735724,0.016101833
BDKRB1,-0.140649,0.8127528,-0.063614614,0.75154936,-0.09380902,0.20550191,0.7465163,-0.10499386,-0.13135248,1.0,0.017416615,0.03611867,0.027033947,0.82682484,0.0084444955,-0.15252002,0.17687225,0.023509609,0.04825378,-0.016790733,-0.08867839,-0.05935813,0.09489092,0.16307408,-0.090563476,-0.054307476,-0.1265744,0.19985649,0.86857134,0.7917423,0.7969205,-0.08002019,0.70352507,-0.025243703,-0.022865344,-0.0025750361,-0.0067446698,0.8042679,-0.059982464,-0.10761872,-0.13186973,-0.09457378,0.02146906,0.004127837,0.104879335,0.8227982,0.053823892,0.8564162,0.75949323,0.8330159,0.731952,0.7725466,0.8524429,0.88686806,0.8416074,0.8032657,0.7888129,-0.014956795,0.0019366236,0.1472691,0.76005554,0.3333149,0.24253419,-0.12952867,0.8559916,-0.06285964,0.76827836,0.082518205,0.8780459,0.7523738,0.18717259,0.87748253,0.80037344,-0.0042710267,-0.108874485,-0.17926829,0.3286258,0.35560367,0.6597779,-0.07386336,0.13787329,-0.14933331,-0.048725277
CDKN1A,0.037482418,0.10502848,-0.02171555,0.076368526,0.0057857987,-0.11506476,0.07900979,-0.034404166,-0.011137194,0.017416615,1.0,0.8659439,0.83063614,0.08297395,-0.11462386,0.011090055,0.006018676,-0.15662645,-0.14217207,-0.02204192,0.014925115,0.02104828,-0.28227425,-0.24732238,-0.014465503,0.038856726,0.030633993,-0.099140435,0.052336365,0.022732677,0.027112331,-0.013449596,0.0154996775,-0.00031377934,0.059406105,0.045603476,0.036077023,0.010970557,0.06597018,-0.05838593,0.014357451,0.0131955,0.17005327,0.13475174,-0.059520595,0.06779929,-0.029875886,0.044834185,0.12451658,0.11732295,0.1191535,0.020219088,0.05772084,0.04439905,0.024153603,0.027667873,0.1210956,-0.04389486,0.052479148,0.0017637927,0.08562692,0.20634437,0.2580998,-0.02596838,0.06401426,0.024217794,0.1318453,-0.049650766,0.020222642,0.095507145,-0.030722076,0.08720513,0.09719053,0.09969756,0.6256337,0.5316664,0.15318137,0.09496686,0.09236139,-0.015605357,-0.0022793412,0.00033327937,-0.03586164
CDKN1B,0.05140371,0.12659763,-0.018100291,0.11070778,0.012272101,-0.06916766,0.123648316,-0.032438666,-0.008530632,0.03611867,0.8659439,1.0,0.8179468,0.1118748,-0.13151756,0.00068846904,0.05455818,-0.16634384,-0.12690157,0.004087913,0.015296808,0.02483872,-0.2127667,-0.17248946,-0.027905012,0.087404005,0.04490833,-0.044866286,0.07250118,0.055607207,0.06261781,-0.024017148,0.024867501,0.042949494,0.08714579,0.06304281,0.091248274,0.022822432,0.054541543,-0.06569753,0.023100765,0.015629496,0.15050972,0.10744874,-0.04451105,0.11211273,-0.035204522,0.07668114,0.15722302,0.13773814,0.17094177,0.095495224,0.07895169,0.061900813,0.041000422,0.08703029,0.113987096,-0.038665403,0.049050897,0.038991977,0.11016296,0.21613055,0.23992524,-0.021378625,0.08131888,0.030195288,0.16737036,-0.060808405,0.051425602,0.14759222,-0.024427833,0.101146385,0.12837283,0.07801724,0.46394396,0.3851822,0.17853221,0.14474483,0.13471931,-0.031120727,0.010918032,0.012008556,-0.013096511
CDKN2C,0.083641544,0.11559881,0.023091307,0.11812502,0.052904908,-0.15877888,0.07440028,0.0045568645,0.04425961,0.027033947,0.83063614,0.8179468,1.0,0.10198292,-0.17098454,0.054795768,0.062466912,-0.08165137,-0.066704944,0.041826405,0.06282922,0.03214988,-0.24683592,-0.21457493,0.04319013,0.09832185,0.04708805,-0.08714778,0.0676025,0.04409766,0.028681904,0.04654196,0.047352515,-0.006009165,0.05623515,0.04710695,0.11567992,0.015578913,0.11913488,0.012157344,0.07053554,0.056436203,0.14468825,0.11848478,-0.088315256,0.10420687,-0.05807114,0.036919467,0.12042618,0.12135928,0.13402855,0.04789488,0.05710438,0.058266975,0.015162058,0.04734422,0.14408626,-0.06491553,0.036810018,0.04668118,0.119545646,0.17162186,0.24677166,0.047754824,0.0607441,0.08167732,0.16447549,-0.054660782,0.04345305,0.12077637,0.015019423,0.0961418,0.11474697,0.10041333,0.43332818,0.3249805,0.11900231,0.06977813,0.09598137,0.02825074,0.03349597,0.06744239,-0.07043083
CLCNKB,-0.04038826,0.8085892,-0.034753382,0.74416673,-0.026884943,0.29852134,0.7485583,-0.04046996,-0.06397289,0.82682484,0.08297395,0.1118748,0.10198292,1.0,0.015042502,-0.07107358,0.19147688,-0.030476432,-0.014605142,0.040533833,-0.033321127,-0.06212262,0.16806307,0.20245317,-0.019992359,0.039329633,-0.06074118,0.2658137,0.8711741,0.7564964,0.81564283,-0.018957634,0.70406604,0.01651033,0.010320803,0.04764957,0.07460659,0.8130866,0.0028764997,-0.065786034,-0.06559164,-0.030998608,-0.000280492,-0.0033535138,0.096125774,0.8248448,0.03580288,0.84145594,0.7846914,0.7783671,0.761191,0.77606624,0.8368382,0.8415927,0.78753006,0.798212,0.79121435,-0.028321858,0.02349732,0.14655292,0.777532,0.363986,0.2597637,-0.060622875,0.83171165,0.013735769,0.7860098,0.06873457,0.856347,0.78736365,0.18809736,0.8507668,0.8133073,-0.0073523745,-0.0753757,-0.16768752,0.3166447,0.36107293,0.6723241,-0.0028702505,0.13122018,-0.060704708,-0.012365501
CLEC1A,-0.1099899,-0.04668888,-0.14892894,-0.028204937,-0.09544692,0.074434,-0.09814122,-0.17869496,-0.059590288,0.0084444955,-0.11462386,-0.13151756,-0.17098454,0.015042502,1.0,-0.07043402,-0.22118567,0.095776424,-0.014467213,-0.14039712,-0.14032516,0.015780982,-0.03486022,-0.030900091,-0.06582467,-0.0799482,-0.06622955,0.06257693,0.010081098,0.05469252,-0.016114054,-0.09246405,-0.0069338316,-0.049967263,-0.051971648,-0.04571378,-0.14754537,-0.020306822,-0.08749852,-0.046638314,-0.084842384,-0.12670979,0.017411366,0.001596665,0.80015004,0.00052713044,0.8667413,-0.039160255,-0.0058973813,0.016904507,-0.07494706,-0.045641825,-0.011561792,0.004577917,0.04213481,-0.011421902,-0.032094195,0.837213,0.048380055,-0.14544451,-0.004787158,-0.002090631,-0.013865123,-0.084740795,0.05879682,-0.11000653,-0.030121973,0.7819077,0.0052385116,-0.047027655,-0.18056768,0.020712871,-0.026123963,-0.0035967398,-0.05147652,-0.05409185,0.09888645,0.1331766,-0.11033461,-0.103669904,-0.17175946,-0.11729644,-0.07122857
COQ5,0.84304786,-0.09046416,0.63543,-0.064312726,0.92166483,-0.02245875,-0.09034971,0.59932244,0.8739359,-0.15252002,0.011090055,0.00068846904,0.054795768,-0.07107358,-0.07043402,1.0,0.033484764,0.20676488,0.2690693,0.73706603,0.8063304,0.053589508,-0.00852019,-0.078050084,0.7574552,0.7883713,0.8094346,-0.009988274,-0.10884558,-0.12789357,-0.049608387,0.8016042,-0.07398457,-0.06158703,0.2031386,0.19618158,0.7845138,-0.08115428,0.7919661,0.7647699,0.8828963,0.7316457,-0.02674152,0.00650358,-0.0800193,-0.07488197,-0.109313,-0.1220186,-0.060614783,-0.09403414,-0.0023586378,-0.028020825,-0.17827123,-0.13438328,-0.12486276,-0.014486428,-0.07258136,-0.061343387,0.04762709,0.12024758,-0.030188054,-0.15107742,-0.15685396,0.8504943,-0.08097163,0.880249,-0.065136164,-0.14299598,-0.110550314,-0.034675155,0.07437637,-0.10506655,-0.048800826,0.116256975,0.09338756,0.18519689,0.014138376,-0.10047878,-0.055492148,0.8104576,0.15272906,0.72959167,0.010518881
COX11,0.07368102,0.22167608,0.40887895,0.23948362,0.14492899,0.010591581,0.2632174,0.43645716,0.007863648,0.17687225,0.006018676,0.05455818,0.062466912,0.19147688,-0.22118567,0.033484764,1.0,0.10682579,0.17945263,0.37521556,0.35121608,0.077361226,0.11949169,0.054227952,0.27991402,0.07424728,0.058271077,-0.075533405,0.19192873,0.04392737,0.26821938,0.0831638,0.21123593,0.029681753,0.1597538,0.09145743,0.22595638,0.19086954,0.28525713,0.097600564,0.03725736,0.41288704,-0.055361453,-0.0112692565,-0.20719916,0.21333483,-0.2435376,0.23043923,0.23992935,0.17199975,0.29192853,0.2783078,0.21410686,0.14491552,0.1968514,0.2359408,0.24070564,-0.24765795,-0.015235756,0.81259406,0.24069063,0.02215786,-0.038840417,0.07568502,0.17205104,0.18199342,0.24688189,-0.19734757,0.1857613,0.26913643,0.8224175,0.22456247,0.21180335,0.10969863,0.03882827,-0.0061553977,0.077456325,0.045877494,0.21814996,0.18040743,0.7678845,0.20492932,0.039083272
CSNK1D,0.20477027,-0.0779544,0.31888863,0.029389147,0.19119386,-0.014118493,-0.12783228,0.2617398,0.22179759,0.023509609,-0.15662645,-0.16634384,-0.08165137,-0.030476432,0.095776424,0.20676488,0.10682579,1.0,0.8208415,0.32110038,0.30932954,-0.017397678,-0.09122636,-0.13791111,0.2186027,0.1009171,0.18788053,0.06651706,-0.0661286,0.039673343,-0.069686174,0.20753314,-0.007845677,-0.049953636,-0.20316474,-0.28158212,0.23081541,-0.037970476,0.26835757,0.18570417,0.21800677,0.29720294,-0.17675139,-0.11449794,0.07320638,-0.0746636,0.08499921,-0.02654896,-0.07533682,0.04087058,-0.09269525,-0.037619587,-0.068305135,0.011877842,0.05478772,-0.034319542,0.0008701701,0.114957705,-0.09751702,0.16535555,-0.064857006,-0.1760927,-0.13781826,0.27171308,0.0009171292,0.23886007,-0.07065574,0.06356294,0.004227631,-0.08960632,0.03408677,0.019115403,-0.048788942,-0.0058988784,-0.005796939,0.02679836,0.06968361,0.011257522,-0.11262555,0.22140497,0.13324273,0.236397,0.12503095
CSNK1E,0.27922022,-0.04808654,0.39590272,0.051702973,0.26192412,-0.11884855,-0.055399753,0.32231086,0.2554281,0.04825378,-0.14217207,-0.12690157,-0.066704944,-0.014605142,-0.014467213,0.2690693,0.17945263,0.8208415,1.0,0.40596214,0.39130056,-0.068413004,-0.06501959,-0.1044048,0.31523582,0.1821863,0.23234656,-0.072940856,-0.044228822,0.019348595,-0.020394947,0.25436044,-0.013102129,-0.05924704,-0.057256557,-0.10670753,0.314561,-0.011010792,0.35006595,0.21115823,0.26826835,0.39227942,-0.1736718,-0.1441204,0.031736154,-0.05986011,-0.003887794,0.0054608285,-0.044122107,0.04514376,-0.04574776,0.030346155,-0.0506706,0.010437619,0.053554934,0.025785163,0.021263232,0.031082882,-0.10820455,0.24120328,-0.034077406,-0.14843965,-0.16703048,0.3409521,0.0077195764,0.32375875,-0.019211216,-0.017344996,0.0057877004,-0.027060434,0.14599712,0.021580556,-0.004240431,-0.026840549,0.019269202,0.075483486,0.054221045,-0.028843548,-0.06307429,0.29256266,0.21357185,0.3156197,0.058306642
CYP11B1,0.775604,0.047564488,0.80375564,0.085223496,0.7755063,-0.044473216,0.09063046,0.7625019,0.690064,-0.016790733,-0.02204192,0.004087913,0.041826405,0.040533833,-0.14039712,0.73706603,0.37521556,0.32110038,0.40596214,1.0,0.8973036,0.049196307,0.014316202,-0.053713236,0.7996696,0.70906293,0.7402378,-0.074705996,-0.010937642,-0.07228985,0.10782267,0.7234516,0.03859988,-0.027273867,0.2135936,0.1737749,0.8293609,0.040000558,0.84157825,0.74961156,0.7409886,0.88462687,-0.06692216,-0.017791647,-0.16032739,0.052997563,-0.18408051,0.02482379,0.052291308,0.022410372,0.16912246,0.1644303,-0.04211757,-0.0381736,0.0051417947,0.102805145,0.043795668,-0.14408025,0.037776463,0.50942683,0.10711897,-0.10651006,-0.16222641,0.7853635,0.010991219,0.8398409,0.052893706,-0.19897763,0.015749848,0.10928926,0.35913163,0.03152539,0.052198756,0.10920627,0.103837244,0.17636137,0.053030748,-0.062966906,0.06804673,0.7441053,0.4384563,0.7845118,0.031240176
