,ACSM5,ADORA3,ALDH18A1,ALG9,ALKBH7,ARHGAP26,ATG9A,BCKDHB,BCKDK,BDKRB1,CDKN1A,CDKN1B,CDKN2C,CLCNKB,CLEC1A,COQ5,COX11,CSNK1D,CSNK1E,CYP11B1,DGUOK,DKK2,DUSP10,DUSP16,EARS2,ECHDC3,GLYATL1,GMIP,GNRHR,GPR152,GPR176,HEMK1,KCND1,KIR2DL1,KLC1,KLC3,LDHAL6B,LY6K,MCAT,METTL17,MIPEP,MRPS2,NDE1,NDEL1,NEU1,NPBWR2,OLFML3,OR10H2,OR12D3,OR13A1,OR2A2,OR2AE1,OR2L13,OR2S2,OR5C1,OR6B2,OR7E2P,OS9,PAFAH1B1,PHB1,PIGV,PPP1R3B,PPP1R3C,PTGR3,RHBG,RIDA,SCAPER,SFTPD,SLC22A13,SLC22A14,SLC25A25,SLC7A9,SLCO6A1,SOSTDC1,SPSB1,SPSB4,SYT1,SYT2,TSPAN32,TUFM,UCP2,UQCRFS1,VSIR
DGUOK,0.8087776,-0.030011676,0.8607793,0.015194831,0.82920206,-0.07690349,-0.015989862,0.8031735,0.7706326,-0.08867839,0.014925115,0.015296808,0.06282922,-0.033321127,-0.14032516,0.8063304,0.35121608,0.30932954,0.39130056,0.8973036,1.0,0.02962783,-0.013899356,-0.097262144,0.83047307,0.71469927,0.7871613,-0.09094967,-0.08054913,-0.1192801,0.017220154,0.7936275,-0.03129335,-0.04088545,0.23634642,0.17485994,0.81502664,-0.03896895,0.8741758,0.78753155,0.80258006,0.92332745,-0.021672152,0.025581613,-0.17282023,-0.03046745,-0.18882751,-0.07583972,-0.030485176,-0.046146244,0.088251784,0.06678443,-0.12522806,-0.09458019,-0.04643558,0.02212849,-0.01517102,-0.15220083,0.06989909,0.45983088,-0.0005059689,-0.1595529,-0.18482739,0.8347187,-0.049439203,0.8748941,-0.035074003,-0.2140617,-0.051410176,0.023820952,0.31847078,-0.041063495,-0.0068449527,0.09381959,0.15648827,0.2607143,0.015216323,-0.11239371,-0.026507115,0.8011472,0.42184645,0.81883466,0.033610694
DKK2,-0.0063667074,0.02291048,0.025928251,0.019577656,0.04926044,0.05924426,0.056783065,0.09497723,0.038532875,-0.05935813,0.02104828,0.02483872,0.03214988,-0.06212262,0.015780982,0.053589508,0.077361226,-0.017397678,-0.068413004,0.049196307,0.02962783,1.0,-0.041741535,-0.027196169,0.0430682,-0.011220448,0.05352758,0.0617547,-0.025135236,-0.010017857,0.01623607,0.06458007,-0.060835157,0.04756072,0.010004716,0.032170016,0.038521007,-0.07813136,0.013037298,0.017391762,0.038295746,0.06079652,0.07888011,0.07206944,-0.017410308,-0.02389834,0.03191051,-0.026833965,0.0025778338,-0.0065343305,0.00363129,0.011832999,-0.00811848,-0.026099466,-0.04123864,-0.042507738,-0.019392569,0.11457667,0.08057005,0.08925357,0.031373776,-0.027220618,-0.032865398,0.023708701,-0.023284001,0.024845839,0.008011349,0.019771844,-0.018768437,0.008641364,0.067692965,-0.0055993944,-0.027961649,0.8189461,-0.047290146,-0.07980794,0.015432265,0.024090849,0.027327217,0.014491348,0.059954755,0.008556469,0.046464324
DUSP10,-0.011988712,0.12964779,0.038910277,0.094918266,-0.019835122,0.37690157,0.12353044,0.07138618,-0.042465318,0.09489092,-0.28227425,-0.2127667,-0.24683592,0.16806307,-0.03486022,-0.00852019,0.11949169,-0.09122636,-0.06501959,0.014316202,-0.013899356,-0.041741535,1.0,0.8436606,0.023856075,0.0003647413,0.002471435,0.2752526,0.12899381,0.08783198,0.13156262,-0.01359525,0.1351041,0.0567361,0.08943051,0.14272645,-0.009627387,0.117856234,-0.031223224,0.03131239,-0.0137773715,-0.026165746,-0.021726761,-0.042047046,0.08059104,0.15370709,-0.08158275,0.13278,0.13706103,0.065242454,0.14035168,0.12190938,0.1732487,0.10577209,0.05700307,0.18218172,0.12244134,-0.07737175,-0.026199423,0.054925237,0.11704898,-0.026214505,-0.09067145,0.013548527,0.096790165,0.005137453,0.101935714,-0.0454479,0.13794371,0.1788756,0.08284349,0.08224088,0.08566745,-0.09753525,-0.27465,-0.18715218,0.086617544,0.094156295,0.10540139,0.08047032,0.0546598,0.09464809,0.0038471948
DUSP16,-0.07721411,0.16425566,-0.0561908,0.14292347,-0.08762604,0.32690847,0.15546522,-0.024156943,-0.09784867,0.16307408,-0.24732238,-0.17248946,-0.21457493,0.20245317,-0.030900091,-0.078050084,0.054227952,-0.13791111,-0.1044048,-0.053713236,-0.097262144,-0.027196169,0.8436606,1.0,-0.045733914,-0.044764344,-0.07391028,0.22763607,0.16988061,0.18041264,0.15285534,-0.095929794,0.17569675,0.054196496,0.07150558,0.16828193,-0.060139716,0.16834617,-0.12644905,-0.030649872,-0.077580854,-0.0944213,-0.00847166,-0.054783262,0.08931276,0.21428429,-0.049090974,0.17322853,0.16086742,0.13159019,0.1389423,0.13687685,0.21644163,0.17374647,0.103963986,0.20705374,0.19155815,-0.037129857,-0.033565223,0.042548813,0.14986388,0.012361369,-0.07341899,-0.074029416,0.14703041,-0.065716535,0.16743428,-0.013555147,0.18863018,0.21000972,0.043652274,0.1572782,0.13492222,-0.10131613,-0.31744143,-0.21662769,0.1087597,0.11980657,0.13770163,0.003026899,0.01957621,-0.024525346,-0.041400906
EARS2,0.73700786,-0.0027330108,0.734103,0.034303516,0.76558346,-0.021651616,-0.01568633,0.70031047,0.70455915,-0.090563476,-0.014465503,-0.027905012,0.04319013,-0.019992359,-0.06582467,0.7574552,0.27991402,0.2186027,0.31523582,0.7996696,0.83047307,0.0430682,0.023856075,-0.045733914,1.0,0.6701373,0.7477871,-0.065823354,-0.0529678,-0.12325689,0.017795583,0.75168675,-0.015320351,-0.0125579825,0.19893971,0.18958277,0.7401015,-0.02219997,0.8058684,0.7430098,0.7489512,0.8121842,-0.01429118,0.022054138,-0.0936735,-0.007825717,-0.13368268,-0.05888369,-0.0024398398,-0.06785972,0.08157903,0.051327102,-0.11030947,-0.09289295,-0.058081277,0.029871978,-0.02265407,-0.09059887,0.08023481,0.38425493,0.022143925,-0.10378254,-0.13526098,0.79267204,-0.053221896,0.8059606,-0.018103374,-0.11169548,-0.04242322,0.043441065,0.28461555,-0.041727886,0.0063911304,0.10548449,0.09095599,0.1647748,0.009697467,-0.05982382,-0.008289162,0.75739217,0.339773,0.7757555,0.028029496
ECHDC3,0.77313405,0.0027126446,0.5285994,0.030097475,0.83750427,0.027435381,0.03796693,0.49524736,0.7739299,-0.054307476,0.038856726,0.087404005,0.09832185,0.039329633,-0.0799482,0.7883713,0.07424728,0.1009171,0.1821863,0.70906293,0.71469927,-0.011220448,0.0003647413,-0.044764344,0.6701373,1.0,0.71876115,0.0038961954,-0.008221177,-0.067746624,0.045702662,0.7032917,0.010153033,-0.022008076,0.21709293,0.23809463,0.7782479,0.013235449,0.69650525,0.67505765,0.7875236,0.6310034,-0.008141412,0.02710789,-0.09074612,0.040159475,-0.11157966,-0.012201754,0.056893006,0.006810883,0.09038094,0.105623074,-0.059969172,-0.055146694,-0.049685463,0.056712825,0.01265298,-0.08067836,0.08593483,0.18069285,0.075188756,-0.007794911,-0.068593636,0.7273627,-0.018884756,0.7946458,0.026042864,-0.11646037,-0.0018322319,0.102830335,0.12086663,0.0051722117,0.004803896,0.043182343,0.05803759,0.122240365,0.015670378,-0.07294373,0.06882325,0.6781072,0.15468258,0.62400997,-0.015264015
GLYATL1,0.79946935,-0.067248344,0.6791177,-0.03835035,0.7883996,-0.0017566681,-0.04565184,0.6290989,0.75735533,-0.1265744,0.030633993,0.04490833,0.04708805,-0.06074118,-0.06622955,0.8094346,0.058271077,0.18788053,0.23234656,0.7402378,0.7871613,0.05352758,0.002471435,-0.07391028,0.7477871,0.71876115,1.0,-0.023902722,-0.09677911,-0.11683487,-0.026197538,0.78292406,-0.050316982,-0.014634175,0.19893417,0.18298179,0.7482979,-0.062541366,0.7751083,0.744649,0.8300123,0.7474195,0.006543968,0.038716547,-0.08849341,-0.06128879,-0.108171426,-0.09665334,-0.044142276,-0.06550826,0.016127003,0.015686296,-0.16415639,-0.11416426,-0.09007119,-0.014996653,-0.08361648,-0.08740251,0.092012115,0.14882328,-0.022693088,-0.111007094,-0.127561,0.81789684,-0.06429182,0.8538239,-0.07833795,-0.12990335,-0.080101654,-0.014306411,0.07446332,-0.0816957,-0.03165307,0.13484405,0.08612832,0.21003944,0.06362769,-0.05826129,-0.020059334,0.77194,0.16456902,0.7611771,0.05702413
GMIP,-0.04690121,0.20987558,-0.091141015,0.1381951,-0.062058203,0.82841337,0.19382595,-0.070902355,0.013620567,0.19985649,-0.099140435,-0.044866286,-0.08714778,0.2658137,0.06257693,-0.009988274,-0.075533405,0.06651706,-0.072940856,-0.074705996,-0.09094967,0.0617547,0.2752526,0.22763607,-0.065823354,0.0038961954,-0.023902722,1.0,0.28430942,0.2298779,0.18792102,-0.028645176,0.26303327,0.07203401,-0.03276884,0.02643457,-0.06615439,0.2079101,-0.075730726,-0.034944985,-0.011629179,-0.1259673,0.09687376,0.07903156,0.14513081,0.2604616,0.081186056,0.25069547,0.21272814,0.16374771,0.2156304,0.14699475,0.2528196,0.26027945,0.19855776,0.29408312,0.22260542,0.080513425,0.05620409,-0.15317747,0.1966187,0.07088058,0.10335693,-0.060025424,0.2836968,-0.01479375,0.24116479,0.06934407,0.27381408,0.22679192,-0.12396255,0.217462,0.19162755,0.071971335,-0.19433999,-0.19689757,0.2848575,0.29059172,0.18400663,0.01828108,-0.13634126,-0.048965298,0.09007831
GNRHR,-0.10294409,0.8544454,-0.06030401,0.7822875,-0.06882635,0.31713256,0.81531715,-0.084245384,-0.10220003,0.86857134,0.052336365,0.07250118,0.0676025,0.8711741,0.010081098,-0.10884558,0.19192873,-0.0661286,-0.044228822,-0.010937642,-0.08054913,-0.025135236,0.12899381,0.16988061,-0.0529678,-0.008221177,-0.09677911,0.28430942,1.0,0.72928375,0.86199075,-0.032634966,0.76517767,0.0034140758,-0.01717439,0.025265755,0.03417521,0.85156715,-0.02118643,-0.07633372,-0.10800724,-0.08907052,0.024298675,0.020995043,0.12728328,0.8813378,0.045712993,0.909068,0.84279054,0.81276333,0.7975196,0.80224866,0.8934087,0.8937348,0.7957016,0.83670926,0.8143503,-0.020220386,0.021113534,0.14841567,0.84853673,0.39058164,0.29299515,-0.12548074,0.89083135,-0.03889118,0.8253412,0.10073352,0.88697726,0.8279166,0.21430716,0.8938321,0.8498348,0.053659275,-0.08627117,-0.16144274,0.31939662,0.3418957,0.7500417,-0.03572528,0.12538503,-0.11589855,-0.03470093
GPR152,-0.13335802,0.6833833,-0.119098246,0.65965414,-0.09520343,0.2627196,0.54772216,-0.14583331,-0.117736995,0.7917423,0.022732677,0.055607207,0.04409766,0.7564964,0.05469252,-0.12789357,0.04392737,0.039673343,0.019348595,-0.07228985,-0.1192801,-0.010017857,0.08783198,0.18041264,-0.12325689,-0.067746624,-0.11683487,0.2298779,0.72928375,1.0,0.6595435,-0.10663419,0.5662639,0.0124497,-0.059867606,-0.02614338,-0.013535777,0.69683176,-0.09364949,-0.11004156,-0.10583615,-0.12551951,0.019672748,0.01882015,0.10903637,0.7281935,0.08999045,0.70468384,0.669015,0.8369224,0.5519419,0.6426431,0.7114774,0.8821298,0.84350157,0.724541,0.6770382,0.040793434,0.012476514,0.010221804,0.57843465,0.20800495,0.14576375,-0.12375488,0.8107143,-0.06760822,0.65132284,0.124639004,0.84984595,0.6407716,0.03755288,0.7781198,0.7560425,0.049058717,-0.13347045,-0.17840278,0.26811016,0.35291255,0.48130167,-0.09740537,0.040214755,-0.1384975,-0.0110358475
GPR176,-0.030393431,0.8276038,0.05028495,0.7915106,-0.007818548,0.2521596,0.8216398,0.030324167,-0.060921088,0.7969205,0.027112331,0.06261781,0.028681904,0.81564283,-0.016114054,-0.049608387,0.26821938,-0.069686174,-0.020394947,0.10782267,0.017220154,0.01623607,0.13156262,0.15285534,0.017795583,0.045702662,-0.026197538,0.18792102,0.86199075,0.6595435,1.0,0.0144365765,0.77436763,-0.037087787,0.09820484,0.11065802,0.12078454,0.8555497,0.07196623,0.0013246574,-0.058542687,0.04478037,0.005561853,-0.00091028865,0.07978816,0.83270043,0.0048287176,0.87754965,0.8083606,0.7626387,0.8270746,0.8342357,0.85158443,0.81770986,0.7507942,0.8370443,0.7957336,-0.04257151,0.028677613,0.23108532,0.84341824,0.3403541,0.19085339,-0.04351754,0.8494046,0.03794985,0.7944894,0.043561965,0.8152039,0.82708865,0.27850518,0.8378552,0.80065286,0.09269491,-0.06526815,-0.1393049,0.25696492,0.28403467,0.75026727,-0.0028588586,0.21098968,-0.027980085,-0.09938006
HEMK1,0.7718854,-0.0067067314,0.6919621,0.0071787983,0.7794062,-0.06851685,-0.008854361,0.62919,0.76097,-0.08002019,-0.013449596,-0.024017148,0.04654196,-0.018957634,-0.09246405,0.8016042,0.0831638,0.20753314,0.25436044,0.7234516,0.7936275,0.06458007,-0.01359525,-0.095929794,0.75168675,0.7032917,0.78292406,-0.028645176,-0.032634966,-0.10663419,0.0144365765,1.0,-0.012927898,-0.034472357,0.16708182,0.13725469,0.72377765,-0.033807654,0.79729414,0.76301503,0.8282241,0.7390853,-0.008888824,0.020964848,-0.09793553,0.0036121346,-0.1278255,-0.051686585,-0.0053754877,-0.023040777,0.06437275,0.053470872,-0.0909501,-0.07391563,-0.0626867,0.012713464,-0.0006438736,-0.103188254,0.07696721,0.16088682,0.028011315,-0.07676988,-0.092739984,0.82577866,-0.037035096,0.83615905,-0.022971725,-0.13077766,-0.029909223,0.04695234,0.12741297,-0.026659127,-0.0014801845,0.11878808,0.061248753,0.1454792,0.050151512,-0.07671297,0.015266415,0.81252545,0.19963318,0.7547917,0.01351491
KCND1,-0.05531417,0.74154377,-0.028681042,0.7132139,-0.04612627,0.32620728,0.7099869,-0.002067415,-0.06911722,0.70352507,0.0154996775,0.024867501,0.047352515,0.70406604,-0.0069338316,-0.07398457,0.21123593,-0.007845677,-0.013102129,0.03859988,-0.03129335,-0.060835157,0.1351041,0.17569675,-0.015320351,0.010153033,-0.050316982,0.26303327,0.76517767,0.5662639,0.77436763,-0.012927898,1.0,-0.020667514,0.03455064,0.04841453,0.07811436,0.8418145,0.007916462,-0.007089248,-0.07255097,-0.028268829,-0.04548858,-0.051014557,0.09694419,0.7272763,0.01155644,0.78219974,0.69994485,0.63373375,0.7395226,0.6873075,0.74224836,0.7329943,0.63511187,0.71895075,0.75785506,-0.061835025,-0.027255205,0.18255568,0.7278573,0.26177108,0.16260861,-0.072439924,0.7197009,0.0034808759,0.6889785,0.043365307,0.7276239,0.7521225,0.2258306,0.7590867,0.7151006,0.009937536,-0.09249684,-0.14182007,0.30236453,0.2900954,0.7223939,-0.015927449,0.149742,-0.050109085,-0.05934602
KIR2DL1,-0.08805295,0.015090428,-0.036842972,-0.024892705,-0.035810202,0.059441864,0.04043686,-0.0132897245,-0.041072037,-0.025243703,-0.00031377934,0.042949494,-0.006009165,0.01651033,-0.049967263,-0.06158703,0.029681753,-0.049953636,-0.05924704,-0.027273867,-0.04088545,0.04756072,0.0567361,0.054196496,-0.0125579825,-0.022008076,-0.014634175,0.07203401,0.0034140758,0.0124497,-0.037087787,-0.034472357,-0.020667514,1.0,-0.00821783,0.031257942,0.019883696,-0.026880989,-0.07506647,-0.14876449,-0.019042056,-0.024265679,0.21232074,0.30130136,-0.017427953,0.026574925,-0.06842015,-0.0045567714,-0.027560946,-0.01751588,0.039534204,-0.025132084,-9.628385e-05,0.015109733,-0.016517136,-0.009085489,0.00044431165,-0.07337056,0.30215278,0.018045902,-0.014452942,0.037071303,0.044770356,-0.08326714,-0.012815688,-0.043245874,-0.00682158,-0.034871314,-0.0050489046,0.0199719,0.03830546,-0.0027931333,0.0021100044,-0.05810076,-0.09085758,-0.04769738,0.092146225,0.09240482,0.07540524,-0.052836604,-0.03072202,-0.011184046,0.8193463
KLC1,0.20895989,0.040016092,0.24222669,0.01754897,0.21372399,-0.026871268,0.042705096,0.23623297,0.14340389,-0.022865344,0.059406105,0.08714579,0.05623515,0.010320803,-0.051971648,0.2031386,0.1597538,-0.20316474,-0.057256557,0.2135936,0.23634642,0.010004716,0.08943051,0.07150558,0.19893971,0.21709293,0.19893417,-0.03276884,-0.01717439,-0.059867606,0.09820484,0.16708182,0.03455064,-0.00821783,1.0,0.874079,0.22111887,0.029660232,0.23107462,0.22279279,0.1480675,0.2590657,0.27538502,0.2825044,-0.044585854,0.03764665,-0.036380738,-0.014412992,0.08052513,-0.06919171,0.14069109,0.082519524,-0.007635953,-0.06504874,-0.055627033,0.11488296,0.055231005,-0.016803175,0.34701747,0.18469357,0.10423228,-0.06410518,-0.14760984,0.20194203,0.005644208,0.25535163,0.051969916,-0.05616079,-0.020933148,0.08519483,0.21311612,-0.0109869465,0.0046431217,0.05852411,0.05859199,0.06973569,0.11770544,0.032808993,0.038413268,0.199465,0.20499824,0.2207421,-0.08156698
KLC3,0.20446023,0.06785175,0.17559011,0.04393327,0.20565718,0.029566064,0.07044549,0.19125009,0.13622573,-0.0025750361,0.045603476,0.06304281,0.04710695,0.04764957,-0.04571378,0.19618158,0.09145743,-0.28158212,-0.10670753,0.1737749,0.17485994,0.032170016,0.14272645,0.16828193,0.18958277,0.23809463,0.18298179,0.02643457,0.025265755,-0.02614338,0.11065802,0.13725469,0.04841453,0.031257942,0.874079,1.0,0.1973143,0.07433098,0.1797164,0.2040972,0.1281574,0.19971384,0.28286457,0.26398757,-0.03656602,0.074900284,-0.044052124,0.017216697,0.111339465,-0.036555186,0.16043584,0.09360982,0.022925455,-0.022239497,-0.037859756,0.14115353,0.07702959,-0.029180415,0.32363024,0.11875255,0.13264033,-0.05845906,-0.14923726,0.17387356,0.040072057,0.24794684,0.08515926,-0.060089484,0.011169072,0.13928784,0.15808153,0.01454778,0.028708532,0.059571937,0.00904268,-0.0034513324,0.10006324,0.019366883,0.0728528,0.17974532,0.12025187,0.19541638,-0.061550487
LDHAL6B,0.8163449,0.068112865,0.7032674,0.1411461,0.81227934,-0.045938395,0.09548707,0.6587167,0.7703979,-0.0067446698,0.036077023,0.091248274,0.11567992,0.07460659,-0.14754537,0.7845138,0.22595638,0.23081541,0.314561,0.8293609,0.81502664,0.038521007,-0.009627387,-0.060139716,0.7401015,0.7782479,0.7482979,-0.06615439,0.03417521,-0.013535777,0.12078454,0.72377765,0.07811436,0.019883696,0.22111887,0.1973143,1.0,0.07296774,0.7764524,0.72582406,0.77802,0.77130944,-0.099539965,-0.009907618,-0.12908465,0.09753701,-0.17882992,0.047216833,0.079230316,0.06728846,0.18384795,0.1875034,-0.022892106,0.00861593,0.009411906,0.11722191,0.087512255,-0.1467013,0.035629325,0.34334815,0.12122661,-0.101021,-0.1356653,0.78071105,0.023796543,0.829986,0.1149294,-0.17106017,0.06236916,0.16207986,0.20327526,0.084163524,0.09739886,0.110101275,0.08187416,0.15984578,0.0559412,-0.045094676,0.13348222,0.69024426,0.27918047,0.7388649,0.07356818
LY6K,-0.0702698,0.8123437,-0.012269449,0.76826924,-0.035516787,0.27386862,0.7593088,-0.010875141,-0.07821734,0.8042679,0.010970557,0.022822432,0.015578913,0.8130866,-0.020306822,-0.08115428,0.19086954,-0.037970476,-0.011010792,0.040000558,-0.03896895,-0.07813136,0.117856234,0.16834617,-0.02219997,0.013235449,-0.062541366,0.2079101,0.85156715,0.69683176,0.8555497,-0.033807654,0.8418145,-0.026880989,0.029660232,0.07433098,0.07296774,1.0,0.019320363,-0.03466537,-0.072939605,-0.014244257,-0.037443057,-0.040184632,0.068435706,0.8180517,-0.007050121,0.86520267,0.7533163,0.73734784,0.76866645,0.7831408,0.83197993,0.843433,0.76243144,0.79767746,0.7936111,-0.08267016,-0.009942794,0.16883789,0.77396685,0.31787255,0.20148477,-0.077922024,0.82689285,0.0063622966,0.77335334,0.03194297,0.8200884,0.7937067,0.20538862,0.8300688,0.7989329,-0.002185896,-0.106937535,-0.15246311,0.28409934,0.2992224,0.7417481,-0.012086948,0.14790055,-0.058661234,-0.08323643
MCAT,0.78253424,0.012310162,0.7973593,0.07443045,0.803632,-0.06617212,0.016353851,0.75356454,0.7192739,-0.059982464,0.06597018,0.054541543,0.11913488,0.0028764997,-0.08749852,0.7919661,0.28525713,0.26835757,0.35006595,0.84157825,0.8741758,0.013037298,-0.031223224,-0.12644905,0.8058684,0.69650525,0.7751083,-0.075730726,-0.02118643,-0.09364949,0.07196623,0.79729414,0.007916462,-0.07506647,0.23107462,0.1797164,0.7764524,0.019320363,1.0,0.76908934,0.76532733,0.8706057,-0.05679745,-0.022453884,-0.09526685,0.017708898,-0.10932713,-0.022238564,0.032642014,-0.0004366003,0.12533888,0.0953839,-0.07381315,-0.056978215,-0.025975958,0.06951077,0.016213495,-0.0797467,0.020368155,0.4078316,0.04673578,-0.08823906,-0.10505429,0.8139528,0.015311338,0.8568126,0.027373109,-0.14144665,-0.018050622,0.05108715,0.317681,-0.013232887,0.046440344,0.115555756,0.17136522,0.24709505,0.07316609,-0.029766124,0.02305328,0.79231143,0.3978096,0.80723965,-0.0140651725
METTL17,0.7826785,-0.054612678,0.69491374,0.005118491,0.73646605,-0.03636628,-0.06070417,0.6911733,0.7160936,-0.10761872,-0.05838593,-0.06569753,0.012157344,-0.065786034,-0.046638314,0.7647699,0.097600564,0.18570417,0.21115823,0.74961156,0.78753155,0.017391762,0.03131239,-0.030649872,0.7430098,0.67505765,0.744649,-0.034944985,-0.07633372,-0.11004156,0.0013246574,0.76301503,-0.007089248,-0.14876449,0.22279279,0.2040972,0.72582406,-0.03466537,0.76908934,1.0,0.7327565,0.7372112,-0.04396247,-0.016675018,-0.0961029,-0.03131368,-0.1088379,-0.092686966,-0.052054368,-0.071304865,0.048498213,0.017722612,-0.13812914,-0.10314962,-0.08395095,0.0055376217,-0.057643972,-0.08683459,0.029595636,0.21422602,0.0015319958,-0.16388589,-0.20436774,0.8323654,-0.058227368,0.80486804,-0.06774765,-0.12482974,-0.06589481,0.021581996,0.118283525,-0.067085594,-0.022444878,0.087862015,0.032615148,0.15938592,0.005977381,-0.10658928,-0.025939452,0.7258985,0.19480608,0.7554481,-0.1086954
