,ACSM5,ALDH18A1,ALKBH7,ANKDD1A,ATG9A,BCAT2,BCKDK,BDKRB1,CLCNKB,CLEC1A,COQ5,CYC1,DGUOK,EARS2,ECHDC3,GLYATL1,GNRHR,GPR152,GPR176,HEMK1,KCND1,KIR2DL1,LDHAL6B,LY6K,MCAT,METTL17,MIPEP,MPPED1,MRPS2,NEU1,NPBWR2,OLFML3,OR10H2,OR12D3,OR13A1,OR2A2,OR2L13,OR2S2,OR6B2,OS9,PHB1,PIGV,PTDSS1,PTGR3,RHBG,RIDA,SCAPER,SFTPD,SLC22A13,SLC22A14,SLC35F5,SLC7A9,SLCO6A1,TUFM,UCP2,UQCRFS1,VIT,VSIR
ACSM5,1.0,0.69145554,0.8429111,0.04101394,-0.055503033,0.61148715,0.80616087,-0.140649,-0.04038826,-0.1099899,0.84304786,-0.011056382,0.8087776,0.73700786,0.77313405,0.79946935,-0.10294409,-0.13335802,-0.030393431,0.7718854,-0.05531417,-0.08805295,0.8163449,-0.0702698,0.78253424,0.7826785,0.8273514,0.7587194,0.7331617,-0.13471374,-0.049199115,-0.15907334,-0.11114891,-0.04282214,-0.08399146,0.025101595,-0.17162171,-0.13754918,-0.007370036,-0.11979918,0.17402676,-0.009500522,0.037284903,0.83971786,-0.07855354,0.8556838,-0.04639267,-0.16303757,-0.09279949,0.00039057247,-0.09925245,-0.0992226,-0.03912215,0.75995666,0.15762156,0.76793283,0.10074966,-0.040498145
ALDH18A1,0.69145554,1.0,0.6606306,0.07174599,-0.017012684,0.7328457,0.6294195,-0.063614614,-0.034753382,-0.14892894,0.63543,0.34339353,0.8607793,0.734103,0.5285994,0.6791177,-0.06030401,-0.119098246,0.05028495,0.6919621,-0.028681042,-0.036842972,0.7032674,-0.012269449,0.7973593,0.69491374,0.63729495,0.6532445,0.85756695,-0.16395271,-0.016489405,-0.21165326,-0.033128187,-0.0041211965,-0.023405556,0.100501016,-0.09597652,-0.08232677,0.03095782,-0.17654788,0.5089091,0.009537824,0.09328541,0.73813653,-0.033980504,0.76541424,0.010415288,-0.22467329,-0.04302039,0.039730605,-0.062121686,-0.03463968,0.028691342,0.6917067,0.48294407,0.77001804,0.11318828,0.037536364
ALKBH7,0.8429111,0.6606306,1.0,0.05290606,-0.042118497,0.60482955,0.8921034,-0.09380902,-0.026884943,-0.09544692,0.92166483,0.10563425,0.82920206,0.76558346,0.83750427,0.7883996,-0.06882635,-0.09520343,-0.007818548,0.7794062,-0.04612627,-0.035810202,0.81227934,-0.035516787,0.803632,0.73646605,0.8797147,0.71194637,0.76917505,-0.10825158,-0.03239443,-0.12581687,-0.07750911,-0.013150189,-0.044933543,0.03649275,-0.12899224,-0.089082256,0.004958503,-0.098144434,0.2377884,0.008753691,0.048299067,0.81620485,-0.05422228,0.87203395,-0.024902405,-0.14484258,-0.059016004,0.012933817,-0.08300656,-0.05062446,-0.007781828,0.79686105,0.23064113,0.695233,0.09630206,0.006100405
ANKDD1A,0.04101394,0.07174599,0.05290606,1.0,0.31660095,0.16587833,-0.015669888,0.23342374,0.24531132,-0.053091127,0.003960723,0.19897,0.0325884,0.030706044,0.10338311,0.05136924,0.25985613,0.17002751,0.3206045,0.036049984,0.25342226,0.06812877,0.25057504,0.26715398,0.08571016,-0.0030137673,0.006324079,0.018642567,0.09984328,0.06819425,0.32106692,0.04606398,0.28132397,0.3345793,0.27949083,0.31820917,0.2705893,0.22379673,0.32031673,0.073382676,0.18779767,0.36530513,0.31916422,0.008978669,0.23613578,0.08587863,0.44032794,0.13911416,0.21128508,0.3705596,0.3168838,0.31631866,0.27563173,0.013842305,0.11127422,0.043368492,0.8091384,-0.0029056594
ATG9A,-0.055503033,-0.017012684,-0.042118497,0.31660095,1.0,0.14591254,-0.11105968,0.7465163,0.7485583,-0.09814122,-0.09034971,0.23949647,-0.015989862,-0.01568633,0.03796693,-0.04565184,0.81531715,0.54772216,0.8216398,-0.008854361,0.7099869,0.04043686,0.09548707,0.7593088,0.016353851,-0.06070417,-0.08426719,-0.055493455,0.007458615,0.0288442,0.7841332,-0.043083373,0.84223604,0.757236,0.6664532,0.81399846,0.8095981,0.7241552,0.74282885,-0.12242803,0.23022789,0.8211517,0.74997985,-0.084460944,0.74209833,-0.014150895,0.79091394,-0.014412409,0.7287415,0.79048353,0.76510197,0.8011898,0.72795343,-0.0139884055,0.18554686,-0.06440542,0.26328254,-0.0021718852
BCAT2,0.61148715,0.7328457,0.60482955,0.16587833,0.14591254,1.0,0.49053675,0.041584462,0.10236062,-0.1525383,0.5740956,0.44632408,0.7542839,0.6995214,0.5400951,0.59425,0.06942148,-0.011626517,0.1843963,0.64111567,0.09192294,-0.051278424,0.6804963,0.11831076,0.7485345,0.63760996,0.56412184,0.6037872,0.80685145,-0.15781282,0.12435915,-0.19943303,0.07122007,0.11844418,0.07141932,0.21690895,0.036932778,0.027428692,0.15173535,-0.19305691,0.56022274,0.1635609,0.21746786,0.6680869,0.089944735,0.7147448,0.13105634,-0.18935493,0.065760486,0.16732252,0.05926142,0.08159513,0.13002428,0.6558398,0.5707611,0.7045015,0.14761391,-0.026257098
BCKDK,0.80616087,0.6294195,0.8921034,-0.015669888,-0.11105968,0.49053675,1.0,-0.13135248,-0.06397289,-0.059590288,0.8739359,-0.029509123,0.7706326,0.70455915,0.7739299,0.75735533,-0.10220003,-0.117736995,-0.060921088,0.76097,-0.06911722,-0.041072037,0.7703979,-0.07821734,0.7192739,0.7160936,0.8876745,0.70545137,0.67970544,-0.07044796,-0.07507796,-0.10520877,-0.11602636,-0.07549152,-0.09416407,-0.015795153,-0.16748466,-0.116556585,-0.027657583,-0.06217641,0.07120516,-0.040722292,-0.025543097,0.7888166,-0.08567427,0.80598736,-0.08553365,-0.12371828,-0.09017272,-0.03275085,-0.11936249,-0.09810171,-0.03695944,0.7362292,0.06889899,0.6735724,0.03496378,0.016101833
BDKRB1,-0.140649,-0.063614614,-0.09380902,0.23342374,0.7465163,0.041584462,-0.13135248,1.0,0.82682484,0.0084444955,-0.15252002,0.20713162,-0.08867839,-0.090563476,-0.054307476,-0.1265744,0.86857134,0.7917423,0.7969205,-0.08002019,0.70352507,-0.025243703,-0.0067446698,0.8042679,-0.059982464,-0.10761872,-0.13186973,-0.08133499,-0.09457378,0.104879335,0.8227982,0.053823892,0.8564162,0.75949323,0.8330159,0.731952,0.8524429,0.88686806,0.8032657,-0.014956795,0.1472691,0.76005554,0.7262152,-0.12952867,0.8559916,-0.06285964,0.76827836,0.082518205,0.8780459,0.7523738,0.74410534,0.87748253,0.80037344,-0.07386336,0.13787329,-0.14933331,0.19139948,-0.048725277
CLCNKB,-0.04038826,-0.034753382,-0.026884943,0.24531132,0.7485583,0.10236062,-0.06397289,0.82682484,1.0,0.015042502,-0.07107358,0.17748275,-0.033321127,-0.019992359,0.039329633,-0.06074118,0.8711741,0.7564964,0.81564283,-0.018957634,0.70406604,0.01651033,0.07460659,0.8130866,0.0028764997,-0.065786034,-0.06559164,-0.04913824,-0.030998608,0.096125774,0.8248448,0.03580288,0.84145594,0.7846914,0.7783671,0.761191,0.8368382,0.8415927,0.798212,-0.028321858,0.14655292,0.777532,0.7345177,-0.060622875,0.83171165,0.013735769,0.7860098,0.06873457,0.856347,0.78736365,0.7801665,0.8507668,0.8133073,-0.0028702505,0.13122018,-0.060704708,0.1910863,-0.012365501
CLEC1A,-0.1099899,-0.14892894,-0.09544692,-0.053091127,-0.09814122,-0.1525383,-0.059590288,0.0084444955,0.015042502,1.0,-0.07043402,-0.14751637,-0.14032516,-0.06582467,-0.0799482,-0.06622955,0.010081098,0.05469252,-0.016114054,-0.09246405,-0.0069338316,-0.049967263,-0.14754537,-0.020306822,-0.08749852,-0.046638314,-0.084842384,-0.049401343,-0.12670979,0.80015004,0.00052713044,0.8667413,-0.039160255,-0.0058973813,0.016904507,-0.07494706,-0.011561792,0.004577917,-0.011421902,0.837213,-0.14544451,-0.004787158,-0.055678282,-0.084740795,0.05879682,-0.11000653,-0.030121973,0.7819077,0.0052385116,-0.047027655,-0.041577242,0.020712871,-0.026123963,-0.103669904,-0.17175946,-0.11729644,-0.09419726,-0.07122857
COQ5,0.84304786,0.63543,0.92166483,0.003960723,-0.09034971,0.5740956,0.8739359,-0.15252002,-0.07107358,-0.07043402,1.0,-0.004073076,0.8063304,0.7574552,0.7883713,0.8094346,-0.10884558,-0.12789357,-0.049608387,0.8016042,-0.07398457,-0.06158703,0.7845138,-0.08115428,0.7919661,0.7647699,0.8828963,0.7505045,0.7316457,-0.0800193,-0.07488197,-0.109313,-0.1220186,-0.060614783,-0.09403414,-0.0023586378,-0.17827123,-0.13438328,-0.014486428,-0.061343387,0.12024758,-0.030188054,0.011887525,0.8504943,-0.08097163,0.880249,-0.065136164,-0.14299598,-0.110550314,-0.034675155,-0.09308736,-0.10506655,-0.048800826,0.8104576,0.15272906,0.72959167,0.060003348,0.010518881
CYC1,-0.011056382,0.34339353,0.10563425,0.19897,0.23949647,0.44632408,-0.029509123,0.20713162,0.17748275,-0.14751637,-0.004073076,1.0,0.2913764,0.24544564,0.07076669,0.0077278316,0.19784002,0.06434663,0.26355892,0.04256551,0.18295702,0.023079716,0.16638198,0.2125453,0.23449108,0.06228379,-0.013812065,-0.023175947,0.38012767,-0.123074315,0.2044575,-0.14921623,0.23827535,0.23619202,0.18195483,0.23452464,0.23204902,0.16247137,0.22634134,-0.15700045,0.8096652,0.20880176,0.2243959,0.021518886,0.17379144,0.12635538,0.23567332,-0.09008178,0.19327527,0.23827736,0.16067474,0.22884285,0.19184777,0.12816067,0.78467053,0.118618466,0.14820261,-0.008885462
DGUOK,0.8087776,0.8607793,0.82920206,0.0325884,-0.015989862,0.7542839,0.7706326,-0.08867839,-0.033321127,-0.14032516,0.8063304,0.2913764,1.0,0.83047307,0.71469927,0.7871613,-0.08054913,-0.1192801,0.017220154,0.7936275,-0.03129335,-0.04088545,0.81502664,-0.03896895,0.8741758,0.78753155,0.80258006,0.75107265,0.92332745,-0.17282023,-0.03046745,-0.18882751,-0.07583972,-0.030485176,-0.046146244,0.088251784,-0.12522806,-0.09458019,0.02212849,-0.15220083,0.45983088,-0.0005059689,0.07451366,0.8347187,-0.049439203,0.8748941,-0.035074003,-0.2140617,-0.051410176,0.023820952,-0.0791817,-0.041063495,-0.0068449527,0.8011472,0.42184645,0.81883466,0.06506936,0.033610694
EARS2,0.73700786,0.734103,0.76558346,0.030706044,-0.01568633,0.6995214,0.70455915,-0.090563476,-0.019992359,-0.06582467,0.7574552,0.24544564,0.83047307,1.0,0.6701373,0.7477871,-0.0529678,-0.12325689,0.017795583,0.75168675,-0.015320351,-0.0125579825,0.7401015,-0.02219997,0.8058684,0.7430098,0.7489512,0.7260323,0.8121842,-0.0936735,-0.007825717,-0.13368268,-0.05888369,-0.0024398398,-0.06785972,0.08157903,-0.11030947,-0.09289295,0.029871978,-0.09059887,0.38425493,0.022143925,0.086921945,0.79267204,-0.053221896,0.8059606,-0.018103374,-0.11169548,-0.04242322,0.043441065,-0.06819664,-0.041727886,0.0063911304,0.75739217,0.339773,0.7757555,0.018874796,0.028029496
ECHDC3,0.77313405,0.5285994,0.83750427,0.10338311,0.03796693,0.5400951,0.7739299,-0.054307476,0.039329633,-0.0799482,0.7883713,0.07076669,0.71469927,0.6701373,1.0,0.71876115,-0.008221177,-0.067746624,0.045702662,0.7032917,0.010153033,-0.022008076,0.7782479,0.013235449,0.69650525,0.67505765,0.7875236,0.64929575,0.6310034,-0.09074612,0.040159475,-0.11157966,-0.012201754,0.056893006,0.006810883,0.09038094,-0.059969172,-0.055146694,0.056712825,-0.08067836,0.18069285,0.075188756,0.1414279,0.7273627,-0.018884756,0.7946458,0.026042864,-0.11646037,-0.0018322319,0.102830335,-0.016481921,0.0051722117,0.004803896,0.6781072,0.15468258,0.62400997,0.14907141,-0.015264015
GLYATL1,0.79946935,0.6791177,0.7883996,0.05136924,-0.04565184,0.59425,0.75735533,-0.1265744,-0.06074118,-0.06622955,0.8094346,0.0077278316,0.7871613,0.7477871,0.71876115,1.0,-0.09677911,-0.11683487,-0.026197538,0.78292406,-0.050316982,-0.014634175,0.7482979,-0.062541366,0.7751083,0.744649,0.8300123,0.7473785,0.7474195,-0.08849341,-0.06128879,-0.108171426,-0.09665334,-0.044142276,-0.06550826,0.016127003,-0.16415639,-0.11416426,-0.014996653,-0.08740251,0.14882328,-0.022693088,0.030471807,0.81789684,-0.06429182,0.8538239,-0.07833795,-0.12990335,-0.080101654,-0.014306411,-0.071683764,-0.0816957,-0.03165307,0.77194,0.16456902,0.7611771,0.09654183,0.05702413
GNRHR,-0.10294409,-0.06030401,-0.06882635,0.25985613,0.81531715,0.06942148,-0.10220003,0.86857134,0.8711741,0.010081098,-0.10884558,0.19784002,-0.08054913,-0.0529678,-0.008221177,-0.09677911,1.0,0.72928375,0.86199075,-0.032634966,0.76517767,0.0034140758,0.03417521,0.85156715,-0.02118643,-0.07633372,-0.10800724,-0.09148592,-0.08907052,0.12728328,0.8813378,0.045712993,0.909068,0.84279054,0.81276333,0.7975196,0.8934087,0.8937348,0.83670926,-0.020220386,0.14841567,0.84853673,0.7797328,-0.12548074,0.89083135,-0.03889118,0.8253412,0.10073352,0.88697726,0.8279166,0.8146798,0.8938321,0.8498348,-0.03572528,0.12538503,-0.11589855,0.20439768,-0.03470093
GPR152,-0.13335802,-0.119098246,-0.09520343,0.17002751,0.54772216,-0.011626517,-0.117736995,0.7917423,0.7564964,0.05469252,-0.12789357,0.06434663,-0.1192801,-0.12325689,-0.067746624,-0.11683487,0.72928375,1.0,0.6595435,-0.10663419,0.5662639,0.0124497,-0.013535777,0.69683176,-0.09364949,-0.11004156,-0.10583615,-0.07653518,-0.12551951,0.10903637,0.7281935,0.08999045,0.70468384,0.669015,0.8369224,0.5519419,0.7114774,0.8821298,0.724541,0.040793434,0.010221804,0.57843465,0.6199442,-0.12375488,0.8107143,-0.06760822,0.65132284,0.124639004,0.84984595,0.6407716,0.6177104,0.7781198,0.7560425,-0.09740537,0.040214755,-0.1384975,0.15438333,-0.0110358475
GPR176,-0.030393431,0.05028495,-0.007818548,0.3206045,0.8216398,0.1843963,-0.060921088,0.7969205,0.81564283,-0.016114054,-0.049608387,0.26355892,0.017220154,0.017795583,0.045702662,-0.026197538,0.86199075,0.6595435,1.0,0.0144365765,0.77436763,-0.037087787,0.12078454,0.8555497,0.07196623,0.0013246574,-0.058542687,-0.012991987,0.04478037,0.07978816,0.83270043,0.0048287176,0.87754965,0.8083606,0.7626387,0.8270746,0.85158443,0.81770986,0.8370443,-0.04257151,0.23108532,0.84341824,0.8117166,-0.04351754,0.8494046,0.03794985,0.7944894,0.043561965,0.8152039,0.82708865,0.8020482,0.8378552,0.80065286,-0.0028588586,0.21098968,-0.027980085,0.2760383,-0.09938006
HEMK1,0.7718854,0.6919621,0.7794062,0.036049984,-0.008854361,0.64111567,0.76097,-0.08002019,-0.018957634,-0.09246405,0.8016042,0.04256551,0.7936275,0.75168675,0.7032917,0.78292406,-0.032634966,-0.10663419,0.0144365765,1.0,-0.012927898,-0.034472357,0.72377765,-0.033807654,0.79729414,0.76301503,0.8282241,0.7892381,0.7390853,-0.09793553,0.0036121346,-0.1278255,-0.051686585,-0.0053754877,-0.023040777,0.06437275,-0.0909501,-0.07391563,0.012713464,-0.103188254,0.16088682,0.028011315,0.10079039,0.82577866,-0.037035096,0.83615905,-0.022971725,-0.13077766,-0.029909223,0.04695234,-0.07311165,-0.026659127,-0.0014801845,0.81252545,0.19963318,0.7547917,0.052827515,0.01351491
KCND1,-0.05531417,-0.028681042,-0.04612627,0.25342226,0.7099869,0.09192294,-0.06911722,0.70352507,0.70406604,-0.0069338316,-0.07398457,0.18295702,-0.03129335,-0.015320351,0.010153033,-0.050316982,0.76517767,0.5662639,0.77436763,-0.012927898,1.0,-0.020667514,0.07811436,0.8418145,0.007916462,-0.007089248,-0.07255097,-0.06743168,-0.028268829,0.09694419,0.7272763,0.01155644,0.78219974,0.69994485,0.63373375,0.7395226,0.74224836,0.7329943,0.71895075,-0.061835025,0.18255568,0.7278573,0.6848115,-0.072439924,0.7197009,0.0034808759,0.6889785,0.043365307,0.7276239,0.7521225,0.7570347,0.7590867,0.7151006,-0.015927449,0.149742,-0.050109085,0.23420073,-0.05934602
KIR2DL1,-0.08805295,-0.036842972,-0.035810202,0.06812877,0.04043686,-0.051278424,-0.041072037,-0.025243703,0.01651033,-0.049967263,-0.06158703,0.023079716,-0.04088545,-0.0125579825,-0.022008076,-0.014634175,0.0034140758,0.0124497,-0.037087787,-0.034472357,-0.020667514,1.0,0.019883696,-0.026880989,-0.07506647,-0.14876449,-0.019042056,0.013956706,-0.024265679,-0.017427953,0.026574925,-0.06842015,-0.0045567714,-0.027560946,-0.01751588,0.039534204,-9.628385e-05,0.015109733,-0.009085489,-0.07337056,0.018045902,-0.014452942,-0.014824003,-0.08326714,-0.012815688,-0.043245874,-0.00682158,-0.034871314,-0.0050489046,0.0199719,0.004058607,-0.0027931333,0.0021100044,-0.052836604,-0.03072202,-0.011184046,0.010232922,0.8193463
LDHAL6B,0.8163449,0.7032674,0.81227934,0.25057504,0.09548707,0.6804963,0.7703979,-0.0067446698,0.07460659,-0.14754537,0.7845138,0.16638198,0.81502664,0.7401015,0.7782479,0.7482979,0.03417521,-0.013535777,0.12078454,0.72377765,0.07811436,0.019883696,1.0,0.07296774,0.7764524,0.72582406,0.77802,0.68109584,0.77130944,-0.12908465,0.09753701,-0.17882992,0.047216833,0.079230316,0.06728846,0.18384795,-0.022892106,0.00861593,0.11722191,-0.1467013,0.34334815,0.12122661,0.18823794,0.78071105,0.023796543,0.829986,0.1149294,-0.17106017,0.06236916,0.16207986,0.0364886,0.084163524,0.09739886,0.69024426,0.27918047,0.7388649,0.2626887,0.07356818
LY6K,-0.0702698,-0.012269449,-0.035516787,0.26715398,0.7593088,0.11831076,-0.07821734,0.8042679,0.8130866,-0.020306822,-0.08115428,0.2125453,-0.03896895,-0.02219997,0.013235449,-0.062541366,0.85156715,0.69683176,0.8555497,-0.033807654,0.8418145,-0.026880989,0.07296774,1.0,0.019320363,-0.03466537,-0.072939605,-0.063418,-0.014244257,0.068435706,0.8180517,-0.007050121,0.86520267,0.7533163,0.73734784,0.76866645,0.83197993,0.843433,0.79767746,-0.08267016,0.16883789,0.77396685,0.7419487,-0.077922024,0.82689285,0.0063622966,0.77335334,0.03194297,0.8200884,0.7937067,0.80028725,0.8300688,0.7989329,-0.012086948,0.14790055,-0.058661234,0.24443395,-0.08323643
MCAT,0.78253424,0.7973593,0.803632,0.08571016,0.016353851,0.7485345,0.7192739,-0.059982464,0.0028764997,-0.08749852,0.7919661,0.23449108,0.8741758,0.8058684,0.69650525,0.7751083,-0.02118643,-0.09364949,0.07196623,0.79729414,0.007916462,-0.07506647,0.7764524,0.019320363,1.0,0.76908934,0.76532733,0.7405933,0.8706057,-0.09526685,0.017708898,-0.10932713,-0.022238564,0.032642014,-0.0004366003,0.12533888,-0.07381315,-0.056978215,0.06951077,-0.0797467,0.4078316,0.04673578,0.12095243,0.8139528,0.015311338,0.8568126,0.027373109,-0.14144665,-0.018050622,0.05108715,-0.052034043,-0.013232887,0.046440344,0.79231143,0.3978096,0.80723965,0.12878658,-0.0140651725
METTL17,0.7826785,0.69491374,0.73646605,-0.0030137673,-0.06070417,0.63760996,0.7160936,-0.10761872,-0.065786034,-0.046638314,0.7647699,0.06228379,0.78753155,0.7430098,0.67505765,0.744649,-0.07633372,-0.11004156,0.0013246574,0.76301503,-0.007089248,-0.14876449,0.72582406,-0.03466537,0.76908934,1.0,0.7327565,0.7593665,0.7372112,-0.0961029,-0.03131368,-0.1088379,-0.092686966,-0.052054368,-0.071304865,0.048498213,-0.13812914,-0.10314962,0.0055376217,-0.08683459,0.21422602,0.0015319958,0.094207734,0.8323654,-0.058227368,0.80486804,-0.06774765,-0.12482974,-0.06589481,0.021581996,-0.09709628,-0.067085594,-0.022444878,0.7258985,0.19480608,0.7554481,0.0621681,-0.1086954
MIPEP,0.8273514,0.63729495,0.8797147,0.006324079,-0.08426719,0.56412184,0.8876745,-0.13186973,-0.06559164,-0.084842384,0.8828963,-0.013812065,0.80258006,0.7489512,0.7875236,0.8300123,-0.10800724,-0.10583615,-0.058542687,0.8282241,-0.07255097,-0.019042056,0.77802,-0.072939605,0.76532733,0.7327565,1.0,0.7683339,0.72181535,-0.09589311,-0.063811824,-0.12955765,-0.11041964,-0.08260282,-0.07405919,0.0043017473,-0.17869797,-0.10945475,-0.026285447,-0.093020335,0.09517572,-0.03978996,0.017910926,0.84209764,-0.088963784,0.8580086,-0.08358062,-0.1519115,-0.08055447,-0.027725011,-0.11821469,-0.093286514,-0.03831321,0.7933438,0.0987714,0.722255,0.05369136,0.019729495
MPPED1,0.7587194,0.6532445,0.71194637,0.018642567,-0.055493455,0.6037872,0.70545137,-0.08133499,-0.04913824,-0.049401343,0.7505045,-0.023175947,0.75107265,0.7260323,0.64929575,0.7473785,-0.09148592,-0.07653518,-0.012991987,0.7892381,-0.06743168,0.013956706,0.68109584,-0.063418,0.7405933,0.7593665,0.7683339,1.0,0.7065021,-0.08516307,-0.035803936,-0.10087778,-0.090307266,-0.029432366,-0.041573048,0.018854495,-0.108771786,-0.08855668,0.0004286915,-0.06728706,0.08831381,-0.007256042,0.049683653,0.8098234,-0.052657332,0.8016038,-0.05289064,-0.11571546,-0.050900515,-0.00063203275,-0.09925683,-0.062530085,-0.061933376,0.78023255,0.116580695,0.7735958,0.051413298,0.072747044
