,ACSM5,ALDH18A1,ALKBH7,ANKDD1A,ATG9A,BCAT2,BCKDK,BDKRB1,CLCNKB,CLEC1A,COQ5,CYC1,DGUOK,EARS2,ECHDC3,GLYATL1,GNRHR,GPR152,GPR176,HEMK1,KCND1,KIR2DL1,LDHAL6B,LY6K,MCAT,METTL17,MIPEP,MPPED1,MRPS2,NEU1,NPBWR2,OLFML3,OR10H2,OR12D3,OR13A1,OR2A2,OR2L13,OR2S2,OR6B2,OS9,PHB1,PIGV,PTDSS1,PTGR3,RHBG,RIDA,SCAPER,SFTPD,SLC22A13,SLC22A14,SLC35F5,SLC7A9,SLCO6A1,TUFM,UCP2,UQCRFS1,VIT,VSIR
MRPS2,0.7331617,0.85756695,0.76917505,0.09984328,0.007458615,0.80685145,0.67970544,-0.09457378,-0.030998608,-0.12670979,0.7316457,0.38012767,0.92332745,0.8121842,0.6310034,0.7474195,-0.08907052,-0.12551951,0.04478037,0.7390853,-0.028268829,-0.024265679,0.77130944,-0.014244257,0.8706057,0.7372112,0.72181535,0.7065021,1.0,-0.14447853,-0.026947662,-0.16193041,-0.060042217,-0.028813837,-0.056150496,0.09764419,-0.10505165,-0.09744001,0.012176617,-0.13513346,0.5571538,-0.008601934,0.06897236,0.7742779,-0.052893035,0.8268305,-0.005296817,-0.16815859,-0.057258353,0.013965372,-0.07156712,-0.03682096,-0.0038640779,0.7612341,0.5091053,0.7803217,0.12817289,0.024130546
NEU1,-0.13471374,-0.16395271,-0.10825158,0.06819425,0.0288442,-0.15781282,-0.07044796,0.104879335,0.096125774,0.80015004,-0.0800193,-0.123074315,-0.17282023,-0.0936735,-0.09074612,-0.08849341,0.12728328,0.10903637,0.07978816,-0.09793553,0.09694419,-0.017427953,-0.12908465,0.068435706,-0.09526685,-0.0961029,-0.09589311,-0.08516307,-0.14447853,1.0,0.08730866,0.820511,0.07013458,0.076719455,0.08851372,0.04591121,0.09467538,0.09357214,0.08819842,0.77798516,-0.15450938,0.10123944,0.021185623,-0.10707852,0.13185012,-0.12403597,0.06953007,0.7149699,0.08809302,0.065268435,0.08053212,0.117339194,0.074884325,-0.107038505,-0.16898136,-0.1376232,0.028965086,-0.0768172
NPBWR2,-0.049199115,-0.016489405,-0.03239443,0.32106692,0.7841332,0.12435915,-0.07507796,0.8227982,0.8248448,0.00052713044,-0.07488197,0.2044575,-0.03046745,-0.007825717,0.040159475,-0.06128879,0.8813378,0.7281935,0.83270043,0.0036121346,0.7272763,0.026574925,0.09753701,0.8180517,0.017708898,-0.03131368,-0.063811824,-0.035803936,-0.026947662,0.08730866,1.0,0.03668277,0.85347646,0.8139845,0.8070499,0.77699244,0.831197,0.843346,0.8243417,-0.015869899,0.18280917,0.8159959,0.78473115,-0.06544694,0.8523329,0.020298097,0.84443414,0.07482912,0.8437722,0.80844873,0.794773,0.86810255,0.8251871,0.0012904294,0.13418365,-0.05205491,0.26590562,-0.013992749
OLFML3,-0.15907334,-0.21165326,-0.12581687,0.04606398,-0.043083373,-0.19943303,-0.10520877,0.053823892,0.03580288,0.8667413,-0.109313,-0.14921623,-0.18882751,-0.13368268,-0.11157966,-0.108171426,0.045712993,0.08999045,0.0048287176,-0.1278255,0.01155644,-0.06842015,-0.17882992,-0.007050121,-0.10932713,-0.1088379,-0.12955765,-0.10087778,-0.16193041,0.820511,0.03668277,1.0,-0.0033218786,0.015386295,0.05557158,-0.036941692,0.04725613,0.049322996,0.001304172,0.87606215,-0.17094882,0.012654327,-0.03910168,-0.1382703,0.0840183,-0.14369434,0.019878855,0.8150558,0.044948112,-0.05046595,-0.025724864,0.06774126,0.003283048,-0.15068349,-0.18973163,-0.17540127,0.010710854,-0.10434035
OR10H2,-0.11114891,-0.033128187,-0.07750911,0.28132397,0.84223604,0.07122007,-0.11602636,0.8564162,0.84145594,-0.039160255,-0.1220186,0.23827535,-0.07583972,-0.05888369,-0.012201754,-0.09665334,0.909068,0.70468384,0.87754965,-0.051686585,0.78219974,-0.0045567714,0.047216833,0.86520267,-0.022238564,-0.092686966,-0.11041964,-0.090307266,-0.060042217,0.07013458,0.85347646,-0.0033218786,1.0,0.84092474,0.8042804,0.80955666,0.88813376,0.87561923,0.83520377,-0.05008229,0.20090017,0.81940216,0.7938421,-0.12444518,0.8670996,-0.02836565,0.810654,0.026584487,0.87863547,0.82866794,0.8140061,0.8893432,0.8389601,-0.05994097,0.17403647,-0.10595843,0.24753034,-0.047750432
OR12D3,-0.04282214,-0.0041211965,-0.013150189,0.3345793,0.757236,0.11844418,-0.07549152,0.75949323,0.7846914,-0.0058973813,-0.060614783,0.23619202,-0.030485176,-0.0024398398,0.056893006,-0.044142276,0.84279054,0.669015,0.8083606,-0.0053754877,0.69994485,-0.027560946,0.079230316,0.7533163,0.032642014,-0.052054368,-0.08260282,-0.029432366,-0.028813837,0.076719455,0.8139845,0.015386295,0.84092474,1.0,0.7801155,0.75255775,0.80705214,0.7831868,0.803856,-0.02551571,0.2222422,0.8257897,0.77231777,-0.08730189,0.8050175,0.017885163,0.7719805,0.073724344,0.80711234,0.813467,0.776361,0.82994074,0.810096,-0.013679387,0.17853852,-0.06013546,0.2888322,-0.06506647
OR13A1,-0.08399146,-0.023405556,-0.044933543,0.27949083,0.6664532,0.07141932,-0.09416407,0.8330159,0.7783671,0.016904507,-0.09403414,0.18195483,-0.046146244,-0.06785972,0.006810883,-0.06550826,0.81276333,0.8369224,0.7626387,-0.023040777,0.63373375,-0.01751588,0.06728846,0.73734784,-0.0004366003,-0.071304865,-0.07405919,-0.041573048,-0.056150496,0.08851372,0.8070499,0.05557158,0.8042804,0.7801155,1.0,0.65149367,0.7784543,0.88908064,0.7895708,0.024013055,0.14471313,0.7031288,0.75151294,-0.08795169,0.8556752,-0.0017475961,0.7759578,0.12068902,0.8752011,0.7396562,0.6843576,0.8664122,0.7918329,-0.04248086,0.15001786,-0.08503713,0.26925492,-0.026409257
OR2A2,0.025101595,0.100501016,0.03649275,0.31820917,0.81399846,0.21690895,-0.015795153,0.731952,0.761191,-0.07494706,-0.0023586378,0.23452464,0.088251784,0.08157903,0.09038094,0.016127003,0.7975196,0.5519419,0.8270746,0.06437275,0.7395226,0.039534204,0.18384795,0.76866645,0.12533888,0.048498213,0.0043017473,0.018854495,0.09764419,0.04591121,0.77699244,-0.036941692,0.80955666,0.75255775,0.65149367,1.0,0.76427674,0.72506124,0.76503307,-0.106545016,0.26420528,0.7818867,0.7720002,0.022167198,0.73944217,0.097780906,0.74006665,-0.028010063,0.7338738,0.78873473,0.74012333,0.77805215,0.729376,0.040152468,0.19471024,0.04740739,0.29014555,-0.0071356595
OR2L13,-0.17162171,-0.09597652,-0.12899224,0.2705893,0.8095981,0.036932778,-0.16748466,0.8524429,0.8368382,-0.011561792,-0.17827123,0.23204902,-0.12522806,-0.11030947,-0.059969172,-0.16415639,0.8934087,0.7114774,0.85158443,-0.0909501,0.74224836,-9.628385e-05,-0.022892106,0.83197993,-0.07381315,-0.13812914,-0.17869797,-0.108771786,-0.10505165,0.09467538,0.831197,0.04725613,0.88813376,0.80705214,0.7784543,0.76427674,1.0,0.8633358,0.8157532,-0.039764974,0.17248371,0.793664,0.7308884,-0.19044372,0.86399925,-0.092796184,0.8060069,0.09037079,0.8480372,0.8052517,0.77574503,0.86767256,0.8217065,-0.0902674,0.15946984,-0.15712312,0.22130707,-0.04277728
OR2S2,-0.13754918,-0.08232677,-0.089082256,0.22379673,0.7241552,0.027428692,-0.116556585,0.88686806,0.8415927,0.004577917,-0.13438328,0.16247137,-0.09458019,-0.09289295,-0.055146694,-0.11416426,0.8937348,0.8821298,0.81770986,-0.07391563,0.7329943,0.015109733,0.00861593,0.843433,-0.056978215,-0.10314962,-0.10945475,-0.08855668,-0.09744001,0.09357214,0.843346,0.049322996,0.87561923,0.7831868,0.88908064,0.72506124,0.8633358,1.0,0.8286872,-0.012358576,0.10499416,0.72448486,0.7456957,-0.12892413,0.9097835,-0.048734285,0.7814941,0.0981292,0.9346012,0.7687455,0.75355655,0.8951194,0.8451728,-0.07210621,0.10690868,-0.1387803,0.20191064,-0.017600264
OR6B2,-0.007370036,0.03095782,0.004958503,0.32031673,0.74282885,0.15173535,-0.027657583,0.8032657,0.798212,-0.011421902,-0.014486428,0.22634134,0.02212849,0.029871978,0.056712825,-0.014996653,0.83670926,0.724541,0.8370443,0.012713464,0.71895075,-0.009085489,0.11722191,0.79767746,0.06951077,0.0055376217,-0.026285447,0.0004286915,0.012176617,0.08819842,0.8243417,0.001304172,0.83520377,0.803856,0.7895708,0.76503307,0.8157532,0.8286872,1.0,-0.022444665,0.20459346,0.7828754,0.74644583,-0.002064854,0.8719497,0.06620652,0.78182346,0.049291544,0.81180465,0.8088599,0.76563704,0.81066287,0.81415844,0.024928749,0.19474372,-0.0021212306,0.26859808,-0.041120652
OS9,-0.11979918,-0.17654788,-0.098144434,0.073382676,-0.12242803,-0.19305691,-0.06217641,-0.014956795,-0.028321858,0.837213,-0.061343387,-0.15700045,-0.15220083,-0.09059887,-0.08067836,-0.08740251,-0.020220386,0.040793434,-0.04257151,-0.103188254,-0.061835025,-0.07337056,-0.1467013,-0.08267016,-0.0797467,-0.08683459,-0.093020335,-0.06728706,-0.13513346,0.77798516,-0.015869899,0.87606215,-0.05008229,-0.02551571,0.024013055,-0.106545016,-0.039764974,-0.012358576,-0.022444665,1.0,-0.14432457,-0.025784248,-0.06392966,-0.104175456,0.040555157,-0.1126943,-0.016727839,0.81803715,-0.008873299,-0.06947073,-0.0745329,0.015925122,-0.045046844,-0.14008938,-0.17167452,-0.13604335,0.030998684,-0.12300319
PHB1,0.17402676,0.5089091,0.2377884,0.18779767,0.23022789,0.56022274,0.07120516,0.1472691,0.14655292,-0.14544451,0.12024758,0.8096652,0.45983088,0.38425493,0.18069285,0.14882328,0.14841567,0.010221804,0.23108532,0.16088682,0.18255568,0.018045902,0.34334815,0.16883789,0.4078316,0.21422602,0.09517572,0.08831381,0.5571538,-0.15450938,0.18280917,-0.17094882,0.20090017,0.2222422,0.14471313,0.26420528,0.17248371,0.10499416,0.20459346,-0.14432457,1.0,0.20614439,0.23287755,0.17969885,0.12876771,0.27017453,0.21780711,-0.12253028,0.17123511,0.2208039,0.14442375,0.1993004,0.1605712,0.23282352,0.815621,0.25817984,0.1459336,0.0024033561
PIGV,-0.009500522,0.009537824,0.008753691,0.36530513,0.8211517,0.1635609,-0.040722292,0.76005554,0.777532,-0.004787158,-0.030188054,0.20880176,-0.0005059689,0.022143925,0.075188756,-0.022693088,0.84853673,0.57843465,0.84341824,0.028011315,0.7278573,-0.014452942,0.12122661,0.77396685,0.04673578,0.0015319958,-0.03978996,-0.007256042,-0.008601934,0.10123944,0.8159959,0.012654327,0.81940216,0.8257897,0.7031288,0.7818867,0.793664,0.72448486,0.7828754,-0.025784248,0.20614439,1.0,0.77559745,-0.037776615,0.7785203,0.037043024,0.8073905,0.078457005,0.7504383,0.828427,0.7829559,0.8151468,0.75199676,0.033501305,0.14925936,-0.028294306,0.31113458,-0.0657096
PTDSS1,0.037284903,0.09328541,0.048299067,0.31916422,0.74997985,0.21746786,-0.025543097,0.7262152,0.7345177,-0.055678282,0.011887525,0.2243959,0.07451366,0.086921945,0.1414279,0.030471807,0.7797328,0.6199442,0.8117166,0.10079039,0.6848115,-0.014824003,0.18823794,0.7419487,0.12095243,0.094207734,0.017910926,0.049683653,0.06897236,0.021185623,0.78473115,-0.03910168,0.7938421,0.77231777,0.75151294,0.7720002,0.7308884,0.7456957,0.74644583,-0.06392966,0.23287755,0.77559745,1.0,0.04314085,0.7476551,0.117813244,0.7662226,0.0023644622,0.7701489,0.8036815,0.7198341,0.799314,0.7130877,0.07430777,0.2002886,0.05857362,0.27737084,-0.0756014
PTGR3,0.83971786,0.73813653,0.81620485,0.008978669,-0.084460944,0.6680869,0.7888166,-0.12952867,-0.060622875,-0.084740795,0.8504943,0.021518886,0.8347187,0.79267204,0.7273627,0.81789684,-0.12548074,-0.12375488,-0.04351754,0.82577866,-0.072439924,-0.08326714,0.78071105,-0.077922024,0.8139528,0.8323654,0.84209764,0.8098234,0.7742779,-0.10707852,-0.06544694,-0.1382703,-0.12444518,-0.08730189,-0.08795169,0.022167198,-0.19044372,-0.12892413,-0.002064854,-0.104175456,0.17969885,-0.037776615,0.04314085,1.0,-0.09395916,0.8819317,-0.07638572,-0.18225822,-0.10599621,-0.018950392,-0.11320392,-0.116224915,-0.058699686,0.80445755,0.20231608,0.8101123,0.057457563,-0.0154275745
RHBG,-0.07855354,-0.033980504,-0.05422228,0.23613578,0.74209833,0.089944735,-0.08567427,0.8559916,0.83171165,0.05879682,-0.08097163,0.17379144,-0.049439203,-0.053221896,-0.018884756,-0.06429182,0.89083135,0.8107143,0.8494046,-0.037035096,0.7197009,-0.012815688,0.023796543,0.82689285,0.015311338,-0.058227368,-0.088963784,-0.052657332,-0.052893035,0.13185012,0.8523329,0.0840183,0.8670996,0.8050175,0.8556752,0.73944217,0.86399925,0.9097835,0.8719497,0.040555157,0.12876771,0.7785203,0.7476551,-0.09395916,1.0,-0.0057468973,0.8042494,0.12979013,0.8724037,0.7859125,0.75724924,0.86144304,0.8586606,-0.02439243,0.14305393,-0.08512297,0.19868481,-0.035735965
RIDA,0.8556838,0.76541424,0.87203395,0.08587863,-0.014150895,0.7147448,0.80598736,-0.06285964,0.013735769,-0.11000653,0.880249,0.12635538,0.8748941,0.8059606,0.7946458,0.8538239,-0.03889118,-0.06760822,0.03794985,0.83615905,0.0034808759,-0.043245874,0.829986,0.0063622966,0.8568126,0.80486804,0.8580086,0.8016038,0.8268305,-0.12403597,0.020298097,-0.14369434,-0.02836565,0.017885163,-0.0017475961,0.097780906,-0.092796184,-0.048734285,0.06620652,-0.1126943,0.27017453,0.037043024,0.117813244,0.8819317,-0.0057468973,1.0,0.008166438,-0.16737944,-0.012594376,0.059315566,-0.024890207,-0.022073563,0.031734735,0.8537964,0.2856709,0.81531376,0.14941809,-0.0023226235
SCAPER,-0.04639267,0.010415288,-0.024902405,0.44032794,0.79091394,0.13105634,-0.08553365,0.76827836,0.7860098,-0.030121973,-0.065136164,0.23567332,-0.035074003,-0.018103374,0.026042864,-0.07833795,0.8253412,0.65132284,0.7944894,-0.022971725,0.6889785,-0.00682158,0.1149294,0.77335334,0.027373109,-0.06774765,-0.08358062,-0.05289064,-0.005296817,0.06953007,0.84443414,0.019878855,0.810654,0.7719805,0.7759578,0.74006665,0.8060069,0.7814941,0.78182346,-0.016727839,0.21780711,0.8073905,0.7662226,-0.07638572,0.8042494,0.008166438,1.0,0.0797209,0.77829975,0.8015579,0.7580464,0.8408279,0.7767605,-0.0061401725,0.19103697,-0.061579056,0.39490092,-0.053000502
SFTPD,-0.16303757,-0.22467329,-0.14484258,0.13911416,-0.014412409,-0.18935493,-0.12371828,0.082518205,0.06873457,0.7819077,-0.14299598,-0.09008178,-0.2140617,-0.11169548,-0.11646037,-0.12990335,0.10073352,0.124639004,0.043561965,-0.13077766,0.043365307,-0.034871314,-0.17106017,0.03194297,-0.14144665,-0.12482974,-0.1519115,-0.11571546,-0.16815859,0.7149699,0.07482912,0.8150558,0.026584487,0.073724344,0.12068902,-0.028010063,0.09037079,0.0981292,0.049291544,0.81803715,-0.12253028,0.078457005,0.0023644622,-0.18225822,0.12979013,-0.16737944,0.0797209,1.0,0.097715884,0.01923191,0.021195218,0.11682931,0.041173756,-0.18007939,-0.1533644,-0.18062392,0.10746342,-0.09709611
SLC22A13,-0.09279949,-0.04302039,-0.059016004,0.21128508,0.7287415,0.065760486,-0.09017272,0.8780459,0.856347,0.0052385116,-0.110550314,0.19327527,-0.051410176,-0.04242322,-0.0018322319,-0.080101654,0.88697726,0.84984595,0.8152039,-0.029909223,0.7276239,-0.0050489046,0.06236916,0.8200884,-0.018050622,-0.06589481,-0.08055447,-0.050900515,-0.057258353,0.08809302,0.8437722,0.044948112,0.87863547,0.80711234,0.8752011,0.7338738,0.8480372,0.9346012,0.81180465,-0.008873299,0.17123511,0.7504383,0.7701489,-0.10599621,0.8724037,-0.012594376,0.77829975,0.097715884,1.0,0.78919023,0.7529958,0.9104736,0.8348192,-0.04001102,0.14110504,-0.0909559,0.17453262,-0.052845508
SLC22A14,0.00039057247,0.039730605,0.012933817,0.3705596,0.79048353,0.16732252,-0.03275085,0.7523738,0.78736365,-0.047027655,-0.034675155,0.23827736,0.023820952,0.043441065,0.102830335,-0.014306411,0.8279166,0.6407716,0.82708865,0.04695234,0.7521225,0.0199719,0.16207986,0.7937067,0.05108715,0.021581996,-0.027725011,-0.00063203275,0.013965372,0.065268435,0.80844873,-0.05046595,0.82866794,0.813467,0.7396562,0.78873473,0.8052517,0.7687455,0.8088599,-0.06947073,0.2208039,0.828427,0.8036815,-0.018950392,0.7859125,0.059315566,0.8015579,0.01923191,0.78919023,1.0,0.7755185,0.82446235,0.79099286,0.02771649,0.19157797,-0.014270665,0.34231135,-0.031295445
SLC35F5,-0.09925245,-0.062121686,-0.08300656,0.3168838,0.76510197,0.05926142,-0.11936249,0.74410534,0.7801665,-0.041577242,-0.09308736,0.16067474,-0.0791817,-0.06819664,-0.016481921,-0.071683764,0.8146798,0.6177104,0.8020482,-0.07311165,0.7570347,0.004058607,0.0364886,0.80028725,-0.052034043,-0.09709628,-0.11821469,-0.09925683,-0.07156712,0.08053212,0.794773,-0.025724864,0.8140061,0.776361,0.6843576,0.74012333,0.77574503,0.75355655,0.76563704,-0.0745329,0.14442375,0.7829559,0.7198341,-0.11320392,0.75724924,-0.024890207,0.7580464,0.021195218,0.7529958,0.7755185,1.0,0.7990792,0.7508068,-0.040180217,0.11851649,-0.091532335,0.26002058,-0.0434703
SLC7A9,-0.0992226,-0.03463968,-0.05062446,0.31631866,0.8011898,0.08159513,-0.09810171,0.87748253,0.8507668,0.020712871,-0.10506655,0.22884285,-0.041063495,-0.041727886,0.0051722117,-0.0816957,0.8938321,0.7781198,0.8378552,-0.026659127,0.7590867,-0.0027931333,0.084163524,0.8300688,-0.013232887,-0.067085594,-0.093286514,-0.062530085,-0.03682096,0.117339194,0.86810255,0.06774126,0.8893432,0.82994074,0.8664122,0.77805215,0.86767256,0.8951194,0.81066287,0.015925122,0.1993004,0.8151468,0.799314,-0.116224915,0.86144304,-0.022073563,0.8408279,0.11682931,0.9104736,0.82446235,0.7990792,1.0,0.8234072,-0.03725367,0.15776132,-0.10637151,0.27937412,-0.023517188
SLCO6A1,-0.03912215,0.028691342,-0.007781828,0.27563173,0.72795343,0.13002428,-0.03695944,0.80037344,0.8133073,-0.026123963,-0.048800826,0.19184777,-0.0068449527,0.0063911304,0.004803896,-0.03165307,0.8498348,0.7560425,0.80065286,-0.0014801845,0.7151006,0.0021100044,0.09739886,0.7989329,0.046440344,-0.022444878,-0.03831321,-0.061933376,-0.0038640779,0.074884325,0.8251871,0.003283048,0.8389601,0.810096,0.7918329,0.729376,0.8217065,0.8451728,0.81415844,-0.045046844,0.1605712,0.75199676,0.7130877,-0.058699686,0.8586606,0.031734735,0.7767605,0.041173756,0.8348192,0.79099286,0.7508068,0.8234072,1.0,-0.011953145,0.14214534,-0.033533875,0.25649947,-0.036669724
TUFM,0.75995666,0.6917067,0.79686105,0.013842305,-0.0139884055,0.6558398,0.7362292,-0.07386336,-0.0028702505,-0.103669904,0.8104576,0.12816067,0.8011472,0.75739217,0.6781072,0.77194,-0.03572528,-0.09740537,-0.0028588586,0.81252545,-0.015927449,-0.052836604,0.69024426,-0.012086948,0.79231143,0.7258985,0.7933438,0.78023255,0.7612341,-0.107038505,0.0012904294,-0.15068349,-0.05994097,-0.013679387,-0.04248086,0.040152468,-0.0902674,-0.07210621,0.024928749,-0.14008938,0.23282352,0.033501305,0.07430777,0.80445755,-0.02439243,0.8537964,-0.0061401725,-0.18007939,-0.04001102,0.02771649,-0.040180217,-0.03725367,-0.011953145,1.0,0.28255188,0.7813958,0.015426972,0.017902028
UCP2,0.15762156,0.48294407,0.23064113,0.11127422,0.18554686,0.5707611,0.06889899,0.13787329,0.13122018,-0.17175946,0.15272906,0.78467053,0.42184645,0.339773,0.15468258,0.16456902,0.12538503,0.040214755,0.21098968,0.19963318,0.149742,-0.03072202,0.27918047,0.14790055,0.3978096,0.19480608,0.0987714,0.116580695,0.5091053,-0.16898136,0.13418365,-0.18973163,0.17403647,0.17853852,0.15001786,0.19471024,0.15946984,0.10690868,0.19474372,-0.17167452,0.815621,0.14925936,0.2002886,0.20231608,0.14305393,0.2856709,0.19103697,-0.1533644,0.14110504,0.19157797,0.11851649,0.15776132,0.14214534,0.28255188,1.0,0.28941193,0.08487971,-0.027165297
UQCRFS1,0.76793283,0.77001804,0.695233,0.043368492,-0.06440542,0.7045015,0.6735724,-0.14933331,-0.060704708,-0.11729644,0.72959167,0.118618466,0.81883466,0.7757555,0.62400997,0.7611771,-0.11589855,-0.1384975,-0.027980085,0.7547917,-0.050109085,-0.011184046,0.7388649,-0.058661234,0.80723965,0.7554481,0.722255,0.7735958,0.7803217,-0.1376232,-0.05205491,-0.17540127,-0.10595843,-0.06013546,-0.08503713,0.04740739,-0.15712312,-0.1387803,-0.0021212306,-0.13604335,0.25817984,-0.028294306,0.05857362,0.8101123,-0.08512297,0.81531376,-0.061579056,-0.18062392,-0.0909559,-0.014270665,-0.091532335,-0.10637151,-0.033533875,0.7813958,0.28941193,1.0,0.06560385,0.048166998
VIT,0.10074966,0.11318828,0.09630206,0.8091384,0.26328254,0.14761391,0.03496378,0.19139948,0.1910863,-0.09419726,0.060003348,0.14820261,0.06506936,0.018874796,0.14907141,0.09654183,0.20439768,0.15438333,0.2760383,0.052827515,0.23420073,0.010232922,0.2626887,0.24443395,0.12878658,0.0621681,0.05369136,0.051413298,0.12817289,0.028965086,0.26590562,0.010710854,0.24753034,0.2888322,0.26925492,0.29014555,0.22130707,0.20191064,0.26859808,0.030998684,0.1459336,0.31113458,0.27737084,0.057457563,0.19868481,0.14941809,0.39490092,0.10746342,0.17453262,0.34231135,0.26002058,0.27937412,0.25649947,0.015426972,0.08487971,0.06560385,1.0,-0.03597922
VSIR,-0.040498145,0.037536364,0.006100405,-0.0029056594,-0.0021718852,-0.026257098,0.016101833,-0.048725277,-0.012365501,-0.07122857,0.010518881,-0.008885462,0.033610694,0.028029496,-0.015264015,0.05702413,-0.03470093,-0.0110358475,-0.09938006,0.01351491,-0.05934602,0.8193463,0.07356818,-0.08323643,-0.0140651725,-0.1086954,0.019729495,0.072747044,0.024130546,-0.0768172,-0.013992749,-0.10434035,-0.047750432,-0.06506647,-0.026409257,-0.0071356595,-0.04277728,-0.017600264,-0.041120652,-0.12300319,0.0024033561,-0.0657096,-0.0756014,-0.0154275745,-0.035735965,-0.0023226235,-0.053000502,-0.09709611,-0.052845508,-0.031295445,-0.0434703,-0.023517188,-0.036669724,0.017902028,-0.027165297,0.048166998,-0.03597922,1.0
